National_VMV_Code,Parameter type code,Long name,Parameter list value,Unique parameter list values
1383,1328_00_00_00_14,Ethylchrysenes,Water - Hydrocarbons,
1384,3075_00_00_00_14,Acridine,Water - Hydrocarbons,
1385,2364_00_00_00_14,7-Isopropyl-1-methylphenanthrene (retene),Water - Hydrocarbons,
1386,3754_00_00_00_14,7-methylbenzo(a)pyrene,Water - Hydrocarbons,
1387,1422_00_00_00_14,"7,10-dimethylbenzo(a)pyrene",Water - Hydrocarbons,
1388,1423_00_00_00_14,"Indeno(1,2,3-cd)fluoranthene",Water - Hydrocarbons,
1742,84_00_00_00_14,Endosulfan sulphate total,Water - Pesticides,
1906,219_00_00_00_14,Benzo(a)anthracene,Water - Hydrocarbons,
1967,635_00_00_00_14,Nitrogen total,Water - Nutrients,
1968,637_00_00_00_14,Nitrogen total dissolved,Water - Nutrients,
2011,437_00_00_00_30,Colour apparent,Water - Physical,
2021,443_00_00_00_30,Colour true,Water - Physical,
2034,817_00_00_00_34,Specific conductance,Water - Physical,
2041,817_00_00_00_34,Specific conductance,Water - Physical,
2061,840_00_00_00_10,Temperature (water),Water - Physical,
2073,864_00_00_00_16,Turbidity,Water - Physical,
2081,864_00_00_00_28,Turbidity,Water - Physical,
2241,2695_00_00_00_14,Calcium dissolved,Water - Major Ions,
2242,2697_00_00_00_14,Potassium dissolved,Water - Major Ions,
2243,2696_00_00_00_14,Magnesium dissolved,Water - Major Ions,
2244,600_00_00_00_14,Sodium dissolved/filtered,Water - Major Ions,
2245,408_00_00_00_14,Calcium total,Water - Major Ions,
2246,567_00_00_00_14,Potassium total,Water - Major Ions,
2247,585_00_00_00_14,Magnesium total,Water - Major Ions,
2248,602_00_00_00_14,Sodium total,Water - Major Ions,
2671,155_00_00_01_02,Benzo(a)phenanthrene OR chrysene,Sediment - Hydrocarbons,
2674,485_00_00_01_01,Carbon total inorganic,Sediment - Carbon,
4099,542_00_00_00_14,Hardness total (calcd.) CaCO3,Water - Physical,
4100,487_00_00_00_14,Carbon total organic,Water - Carbon,
4801,4813_00_00_00_25,Enterococci,Water - Biological,
5078,443_00_00_00_09,Colour true,Water - Physical,
5730,2012_00_00_00_14,Europium total dissolved,Water - Metal,
5731,2013_00_00_00_14,Gadolinium total dissolved,Water - Metal,
5732,2014_00_00_00_14,Hafnium total dissolved,Water - Metal,
