CODE,DECIMALS,ABBREV,FULL_NAME,UNITS,NARR,National_VMV_Code
117,2,NT RAD,NET DOWNWARD SOLAR + TERRESTRIAL RAD.,LANGLEYS,,
122,1,I-TURB,TURBIDITY FROM INTEG.SAMPL,UNITS,"TURBIDITY OBTAINED FROM INTEGRATED SAMPLES. TURBIDITY WAS MEASURED USING EITHER A HACH MODEL 2100A OR 2100 TURBIDIMETER.  PHILBERT AND TRAVERSY, INLAND WATERS BRANCH, CCIW., BURLINGTON. 1973. PROC. 16TH CONF. GREAT LAKES RES. 1973. PAGES 294-308.",2073
123,1,TURB,TURBIDITY,UNITS,TURBIDITY WAS MEASURED USING EITHER A HACH MODEL 2100A OR 2100 TURBIDIMETER. HACH MODEL 1860 USED BEFORE 1969. PROC. 16TH CONF. GREAT LAKES RES. 1973. PAGES 294-308.,2073
124,0,TRANS,TRANSPARENCY,PERCENT,"THE 5 DIGIT VALUE REPORTED CONSISTS OF 4 PARTS (READ LEFT TO RIGHT) FIRST DIGIT REFERS TO THE INSTRUMENT AND THE FIELD OF VIEW USED. I.E. 0 = XMS MARTEK WITH 2.3 F. O. V.      1 = XMS MARTEK WITH 0.9 F. O. V. SECOND DIGIT REFERS TO THE PATH LENGTH (0 = 1 METRE.,4 = .25,1 = .10) THIRD DIGIT REFERS TO THE FILTER USED (0 = WRATTEN 45 BLUE-GREEN ) FOURTH AND FIFTH DIGIT REFERS TO THE PERCENT TRANSMISSION. EXAMPLE 00075 REPORTS  75 PERCENT TRANSMISSION AT THE RECORDED DEPTH. PROFILES ARE TAKEN FROM SURFACE TO BOTTOM. READING OF 100 PERCENT WOULD BE OBTAINED IN HYPOTHETICAL NON ATTENUATING WATER.",14602
125,1,TRANS P,"TRANSMISSION,LIGHT PROFILER",PERCENT,"THE LIGHT TRANSMISSOMETER IS PART OF A MULTI-SENSOR PROFILER. DESCRIBED IN ""OPERATING INSTRUCTIONS FOR THE WATER QUALITY PROFILER"" ES-88-001. TRANSMISSION PROFILES WERE BEGUN IN 1986 USING A CUSTOM NWRI (R.DESROSIERS) UNIT. THE TRANSMISSOMETER IS RECALIBRATED AT LEAST ONCE A YEAR IN THE STANDARDS LABORATORY. THE REGRESSION COEFFICIENT ARE APPLIED TO THE DIGITIZER COUNTS TO OBTAIN THE FINAL READINGS. THE FILTER IS CENTRED ON 500 NM AND THE BANDWIDTH IS 40 NM.",
126,1,TRANS P,TRANSMISSION LIGHT PROFILER,PERCENT,"THE LIGHT TRANSMISSOMETER IS PART OF A MULTI-SENSOR PROFILER DESCRIBED IN ""OPERATING INSTRUCITONS OF THE WATER QUALITY PROFILER"" ES-88-001. TRANSMISSION PROFILES WERE BEGUN IN 1991 USING A SEA-TECH 25CM PATH LENGTH UNIT. THE TRANSMISSOMETER IS RECALIBRATED AT LEAST ONCE A YEAR IN THE STANDARDS LABORATORY. THE REGRESSION COEFFICIENTS ARE APPLIED TO THE DIGITIZER COUNTS TO OBTAIN THE FINAL READINGS. THE LIGHT IS CENTRED ON 660 OR 670 NM AND IS 40 NM WIDE ACCORDING TO SEA-TECH.",
127,1,TRANS P,TRANSMISSION LIGHT PROFILER,PERCENT,"THE LIGHT TRANSMISSOMETER IS PART OF A MULTI-SENSOR PROFILER DESCRIBED IN ""OPERATING INSTRUCTIONS FOR THE WATER QUALITY PROFILER"" ES-88-001. TRANSMISSION PROFILES WERE BEGUN IN 1991 USING A SEA-TECH 10 CM PATH LENGTH UNIT. THE TRANSMISSOMETER IS RECALIBRATED AT LEAST ONCE A YEAR IN THE STANDARDS LABORATORY. THE REGRESSION COEFFICIENTS ARE APPLIED TO THE DIGITIZER COUNTS TO OBTAIN THE FINAL READINGS. THE LIGHT IS CENTRED ON 660 OR 670 NM AND IS 40 NM WIDE ACCORDING TO SEA-TECH.",15235
130,0,D ILL,"SUBSURFACE ILLUMINANCE,DOWNWARD",CANDLE,,
131,0,U ILL,"SUBSURFACE ILLUMINANCE,UPWARD",CANDLE,,
158,0,CON P,"CONDUCTIVITY,PROFILER WQP",US/CM,"THE CONDUCTIVITY PROBE IS PART OF A MULTI-SENSOR PROFILER DESCRIBED IN ""OPERATING INSTRUCTIONS FOR THE WATER QUALITY PROFILER"" ES-88-001. CONDUCTIVITY PROFILES WERE BEGUN IN 1986 USING THE TBI MODEL 465 PROBE AND THE 440 SELIES CONTROLLER. THIS INSTRUMENT IS RECALIBRATED AT LEAST ONCE A YEAR IN THE STANDARDS LAB AND ROUTINELY COMPARED TO READINGS TAKEN IN A SPECIAL BATH USING A HAND HELD HANNAH METER. THE SENSITIVITY CAN BE ADJUSTED BY THE OPERATOR USING COMPUTER ENTRY TO CHANGE THE REGRESSION SLOPE. THE REGRESSION ON COEFFICIENTS ARE APPLIED TO THE DIGITIZER COUNTS TO OBTAIN THE FINAL READINGS",15236
159,0,I-SP CON,INTG. SPECIFIC CONDUCTANC 25 DEG. C,USIEMENS,"MICROSIEMENS SPECIFIC CONDUCTANCE FROM INTEGRATED SAMPLES SPECIFIC CONDUCTANCE MEASUREMENTS WERE PERFORMED BY USING A RADIOMETER TYPE CDM3 OR CDM2 CONDUCTIVITY METER. CONDUCTIVITY CELLS USED WERE RADIOMETER IMMERSION TYPE CDC 304, CDC 104 AND CDC 404. PHILBERT AND TRAVERSY  CCIW., INLAND WATERS, BURLINGTON.1973. PROC. 16TH CONF. GREAT LAKES RES. 1973. PAGES 294-308. MICROSIEMENS REPLACES MICROMHOS AS THE SI UNIT FOR SPECIFIC CONDUCTANCE. FEB. 26,1976.",2041
