CODE,DECIMALS,ABBREV,FULL_NAME,UNITS,NARR,National_VMV_Code
3112,5,"PCB8,5_BLCorr","2,4-dichloro-1-(4-chlorophenyl)benzene/1,4-dichloro-2-(4-chlorophenyl)benzene",ng/L,"THIS METHOD APPLIES TO A QUALITATIVE AND QUANTITATIVE DETERMINATION OF CHLOROBENZENES (CBs), ORGANOCHLORINE PESTICIDES (OCs), NEUTRAL HERBICIDES (NHs), POLYCYCLIC AROMATIC HYDROCARBONS (PAHs) AND CONGENER SPECIFIC POLYCHLORINATED BIPHENYLS (cPCBs) FROM 16-24 L OF FILTERED/CENTRIFUGED WATER USING LIQUID/LIQUID EXTRACTION [GOULDEN LARGE SAMPLE EXTRACTOR (GLSE)], SILICA GEL CLEANUP AND ANALYSIS BY GAS CHROMATOGRAPHY WITH MICRO(µ)-ELECTRON CAPTURE (GC-µECD) AND MASS SELECTIVE DETECTORS (GC-MSD).  This data has been Blank Corrected.",
3113,5,PCB81_BLCorr,4-chlorobiphenyl,ng/L,"THIS METHOD APPLIES TO A QUALITATIVE AND QUANTITATIVE DETERMINATION OF CHLOROBENZENES (CBs), ORGANOCHLORINE PESTICIDES (OCs), NEUTRAL HERBICIDES (NHs), POLYCYCLIC AROMATIC HYDROCARBONS (PAHs) AND CONGENER SPECIFIC POLYCHLORINATED BIPHENYLS (cPCBs) FROM 16-24 L OF FILTERED/CENTRIFUGED WATER USING LIQUID/LIQUID EXTRACTION [GOULDEN LARGE SAMPLE EXTRACTOR (GLSE)], SILICA GEL CLEANUP AND ANALYSIS BY GAS CHROMATOGRAPHY WITH MICRO(µ)-ELECTRON CAPTURE (GC-µECD) AND MASS SELECTIVE DETECTORS (GC-MSD).  This data has been Blank Corrected.",
3114,5,PCB82_BLCorr,4158,ng/L,"THIS METHOD APPLIES TO A QUALITATIVE AND QUANTITATIVE DETERMINATION OF CHLOROBENZENES (CBs), ORGANOCHLORINE PESTICIDES (OCs), NEUTRAL HERBICIDES (NHs), POLYCYCLIC AROMATIC HYDROCARBONS (PAHs) AND CONGENER SPECIFIC POLYCHLORINATED BIPHENYLS (cPCBs) FROM 16-24 L OF FILTERED/CENTRIFUGED WATER USING LIQUID/LIQUID EXTRACTION [GOULDEN LARGE SAMPLE EXTRACTOR (GLSE)], SILICA GEL CLEANUP AND ANALYSIS BY GAS CHROMATOGRAPHY WITH MICRO(µ)-ELECTRON CAPTURE (GC-µECD) AND MASS SELECTIVE DETECTORS (GC-MSD).  This data has been Blank Corrected.",
3115,5,PCB83_BLCorr,4415,ng/L,"THIS METHOD APPLIES TO A QUALITATIVE AND QUANTITATIVE DETERMINATION OF CHLOROBENZENES (CBs), ORGANOCHLORINE PESTICIDES (OCs), NEUTRAL HERBICIDES (NHs), POLYCYCLIC AROMATIC HYDROCARBONS (PAHs) AND CONGENER SPECIFIC POLYCHLORINATED BIPHENYLS (cPCBs) FROM 16-24 L OF FILTERED/CENTRIFUGED WATER USING LIQUID/LIQUID EXTRACTION [GOULDEN LARGE SAMPLE EXTRACTOR (GLSE)], SILICA GEL CLEANUP AND ANALYSIS BY GAS CHROMATOGRAPHY WITH MICRO(µ)-ELECTRON CAPTURE (GC-µECD) AND MASS SELECTIVE DETECTORS (GC-MSD).  This data has been Blank Corrected.",
3116,5,PCB84_BLCorr,1587,ng/L,"THIS METHOD APPLIES TO A QUALITATIVE AND QUANTITATIVE DETERMINATION OF CHLOROBENZENES (CBs), ORGANOCHLORINE PESTICIDES (OCs), NEUTRAL HERBICIDES (NHs), POLYCYCLIC AROMATIC HYDROCARBONS (PAHs) AND CONGENER SPECIFIC POLYCHLORINATED BIPHENYLS (cPCBs) FROM 16-24 L OF FILTERED/CENTRIFUGED WATER USING LIQUID/LIQUID EXTRACTION [GOULDEN LARGE SAMPLE EXTRACTOR (GLSE)], SILICA GEL CLEANUP AND ANALYSIS BY GAS CHROMATOGRAPHY WITH MICRO(µ)-ELECTRON CAPTURE (GC-µECD) AND MASS SELECTIVE DETECTORS (GC-MSD).  This data has been Blank Corrected.",
3117,5,PCB85_BLCorr,"1,2-dichloro-4-(2-chlorophenyl)benzene/2,3,3'-trichlorobiphenyl",ng/L,"THIS METHOD APPLIES TO A QUALITATIVE AND QUANTITATIVE DETERMINATION OF CHLOROBENZENES (CBs), ORGANOCHLORINE PESTICIDES (OCs), NEUTRAL HERBICIDES (NHs), POLYCYCLIC AROMATIC HYDROCARBONS (PAHs) AND CONGENER SPECIFIC POLYCHLORINATED BIPHENYLS (cPCBs) FROM 16-24 L OF FILTERED/CENTRIFUGED WATER USING LIQUID/LIQUID EXTRACTION [GOULDEN LARGE SAMPLE EXTRACTOR (GLSE)], SILICA GEL CLEANUP AND ANALYSIS BY GAS CHROMATOGRAPHY WITH MICRO(µ)-ELECTRON CAPTURE (GC-µECD) AND MASS SELECTIVE DETECTORS (GC-MSD).  This data has been Blank Corrected.",
3118,5,"PCB86,97_BLCorr",1264,ng/L,"THIS METHOD APPLIES TO A QUALITATIVE AND QUANTITATIVE DETERMINATION OF CHLOROBENZENES (CBs), ORGANOCHLORINE PESTICIDES (OCs), NEUTRAL HERBICIDES (NHs), POLYCYCLIC AROMATIC HYDROCARBONS (PAHs) AND CONGENER SPECIFIC POLYCHLORINATED BIPHENYLS (cPCBs) FROM 16-24 L OF FILTERED/CENTRIFUGED WATER USING LIQUID/LIQUID EXTRACTION [GOULDEN LARGE SAMPLE EXTRACTOR (GLSE)], SILICA GEL CLEANUP AND ANALYSIS BY GAS CHROMATOGRAPHY WITH MICRO(µ)-ELECTRON CAPTURE (GC-µECD) AND MASS SELECTIVE DETECTORS (GC-MSD).  This data has been Blank Corrected.",
3119,5,"PCB89,101_BLCorr","1,2-dichloro-3-(2,3-dichlorophenyl)benzene",ng/L,"THIS METHOD APPLIES TO A QUALITATIVE AND QUANTITATIVE DETERMINATION OF CHLOROBENZENES (CBs), ORGANOCHLORINE PESTICIDES (OCs), NEUTRAL HERBICIDES (NHs), POLYCYCLIC AROMATIC HYDROCARBONS (PAHs) AND CONGENER SPECIFIC POLYCHLORINATED BIPHENYLS (cPCBs) FROM 16-24 L OF FILTERED/CENTRIFUGED WATER USING LIQUID/LIQUID EXTRACTION [GOULDEN LARGE SAMPLE EXTRACTOR (GLSE)], SILICA GEL CLEANUP AND ANALYSIS BY GAS CHROMATOGRAPHY WITH MICRO(µ)-ELECTRON CAPTURE (GC-µECD) AND MASS SELECTIVE DETECTORS (GC-MSD).  This data has been Blank Corrected.",
3120,5,PCB91_BLCorr,1580,ng/L,"THIS METHOD APPLIES TO A QUALITATIVE AND QUANTITATIVE DETERMINATION OF CHLOROBENZENES (CBs), ORGANOCHLORINE PESTICIDES (OCs), NEUTRAL HERBICIDES (NHs), POLYCYCLIC AROMATIC HYDROCARBONS (PAHs) AND CONGENER SPECIFIC POLYCHLORINATED BIPHENYLS (cPCBs) FROM 16-24 L OF FILTERED/CENTRIFUGED WATER USING LIQUID/LIQUID EXTRACTION [GOULDEN LARGE SAMPLE EXTRACTOR (GLSE)], SILICA GEL CLEANUP AND ANALYSIS BY GAS CHROMATOGRAPHY WITH MICRO(µ)-ELECTRON CAPTURE (GC-µECD) AND MASS SELECTIVE DETECTORS (GC-MSD).  This data has been Blank Corrected.",
3121,5,PCB92_BLCorr,1581,ng/L,"THIS METHOD APPLIES TO A QUALITATIVE AND QUANTITATIVE DETERMINATION OF CHLOROBENZENES (CBs), ORGANOCHLORINE PESTICIDES (OCs), NEUTRAL HERBICIDES (NHs), POLYCYCLIC AROMATIC HYDROCARBONS (PAHs) AND CONGENER SPECIFIC POLYCHLORINATED BIPHENYLS (cPCBs) FROM 16-24 L OF FILTERED/CENTRIFUGED WATER USING LIQUID/LIQUID EXTRACTION [GOULDEN LARGE SAMPLE EXTRACTOR (GLSE)], SILICA GEL CLEANUP AND ANALYSIS BY GAS CHROMATOGRAPHY WITH MICRO(µ)-ELECTRON CAPTURE (GC-µECD) AND MASS SELECTIVE DETECTORS (GC-MSD).  This data has been Blank Corrected.",
3122,5,PCB95_BLCorr,"2,4-dichloro-1-(2,3-dichlorophenyl)benzene/3,4,4'-Trichlorobiphenyl",ng/L,"THIS METHOD APPLIES TO A QUALITATIVE AND QUANTITATIVE DETERMINATION OF CHLOROBENZENES (CBs), ORGANOCHLORINE PESTICIDES (OCs), NEUTRAL HERBICIDES (NHs), POLYCYCLIC AROMATIC HYDROCARBONS (PAHs) AND CONGENER SPECIFIC POLYCHLORINATED BIPHENYLS (cPCBs) FROM 16-24 L OF FILTERED/CENTRIFUGED WATER USING LIQUID/LIQUID EXTRACTION [GOULDEN LARGE SAMPLE EXTRACTOR (GLSE)], SILICA GEL CLEANUP AND ANALYSIS BY GAS CHROMATOGRAPHY WITH MICRO(µ)-ELECTRON CAPTURE (GC-µECD) AND MASS SELECTIVE DETECTORS (GC-MSD).  This data has been Blank Corrected.",
3123,5,PCB99_BLCorr,"2,2',3,5-tetrachlorobiphenyl",ng/L,"THIS METHOD APPLIES TO A QUALITATIVE AND QUANTITATIVE DETERMINATION OF CHLOROBENZENES (CBs), ORGANOCHLORINE PESTICIDES (OCs), NEUTRAL HERBICIDES (NHs), POLYCYCLIC AROMATIC HYDROCARBONS (PAHs) AND CONGENER SPECIFIC POLYCHLORINATED BIPHENYLS (cPCBs) FROM 16-24 L OF FILTERED/CENTRIFUGED WATER USING LIQUID/LIQUID EXTRACTION [GOULDEN LARGE SAMPLE EXTRACTOR (GLSE)], SILICA GEL CLEANUP AND ANALYSIS BY GAS CHROMATOGRAPHY WITH MICRO(µ)-ELECTRON CAPTURE (GC-µECD) AND MASS SELECTIVE DETECTORS (GC-MSD).  This data has been Blank Corrected.",
3124,5,PCB44_BLCorr,1086,ng/L,"THIS METHOD APPLIES TO A QUALITATIVE AND QUANTITATIVE DETERMINATION OF CHLOROBENZENES (CBs), ORGANOCHLORINE PESTICIDES (OCs), NEUTRAL HERBICIDES (NHs), POLYCYCLIC AROMATIC HYDROCARBONS (PAHs) AND CONGENER SPECIFIC POLYCHLORINATED BIPHENYLS (cPCBs) FROM 16-24 L OF FILTERED/CENTRIFUGED WATER USING LIQUID/LIQUID EXTRACTION [GOULDEN LARGE SAMPLE EXTRACTOR (GLSE)], SILICA GEL CLEANUP AND ANALYSIS BY GAS CHROMATOGRAPHY WITH MICRO(µ)-ELECTRON CAPTURE (GC-µECD) AND MASS SELECTIVE DETECTORS (GC-MSD).  This data has been Blank Corrected.",
3125,5,PCB45_BLCorr,1585,ng/L,"THIS METHOD APPLIES TO A QUALITATIVE AND QUANTITATIVE DETERMINATION OF CHLOROBENZENES (CBs), ORGANOCHLORINE PESTICIDES (OCs), NEUTRAL HERBICIDES (NHs), POLYCYCLIC AROMATIC HYDROCARBONS (PAHs) AND CONGENER SPECIFIC POLYCHLORINATED BIPHENYLS (cPCBs) FROM 16-24 L OF FILTERED/CENTRIFUGED WATER USING LIQUID/LIQUID EXTRACTION [GOULDEN LARGE SAMPLE EXTRACTOR (GLSE)], SILICA GEL CLEANUP AND ANALYSIS BY GAS CHROMATOGRAPHY WITH MICRO(µ)-ELECTRON CAPTURE (GC-µECD) AND MASS SELECTIVE DETECTORS (GC-MSD).  This data has been Blank Corrected.",
3126,5,PCB46_BLCorr,1584,ng/L,"THIS METHOD APPLIES TO A QUALITATIVE AND QUANTITATIVE DETERMINATION OF CHLOROBENZENES (CBs), ORGANOCHLORINE PESTICIDES (OCs), NEUTRAL HERBICIDES (NHs), POLYCYCLIC AROMATIC HYDROCARBONS (PAHs) AND CONGENER SPECIFIC POLYCHLORINATED BIPHENYLS (cPCBs) FROM 16-24 L OF FILTERED/CENTRIFUGED WATER USING LIQUID/LIQUID EXTRACTION [GOULDEN LARGE SAMPLE EXTRACTOR (GLSE)], SILICA GEL CLEANUP AND ANALYSIS BY GAS CHROMATOGRAPHY WITH MICRO(µ)-ELECTRON CAPTURE (GC-µECD) AND MASS SELECTIVE DETECTORS (GC-MSD).  This data has been Blank Corrected.",
3127,5,"PCB47,48_BLCorr",1582,ng/L,"THIS METHOD APPLIES TO A QUALITATIVE AND QUANTITATIVE DETERMINATION OF CHLOROBENZENES (CBs), ORGANOCHLORINE PESTICIDES (OCs), NEUTRAL HERBICIDES (NHs), POLYCYCLIC AROMATIC HYDROCARBONS (PAHs) AND CONGENER SPECIFIC POLYCHLORINATED BIPHENYLS (cPCBs) FROM 16-24 L OF FILTERED/CENTRIFUGED WATER USING LIQUID/LIQUID EXTRACTION [GOULDEN LARGE SAMPLE EXTRACTOR (GLSE)], SILICA GEL CLEANUP AND ANALYSIS BY GAS CHROMATOGRAPHY WITH MICRO(µ)-ELECTRON CAPTURE (GC-µECD) AND MASS SELECTIVE DETECTORS (GC-MSD).  This data has been Blank Corrected.",
3128,5,PCB49_BLCorr,1583,ng/L,"THIS METHOD APPLIES TO A QUALITATIVE AND QUANTITATIVE DETERMINATION OF CHLOROBENZENES (CBs), ORGANOCHLORINE PESTICIDES (OCs), NEUTRAL HERBICIDES (NHs), POLYCYCLIC AROMATIC HYDROCARBONS (PAHs) AND CONGENER SPECIFIC POLYCHLORINATED BIPHENYLS (cPCBs) FROM 16-24 L OF FILTERED/CENTRIFUGED WATER USING LIQUID/LIQUID EXTRACTION [GOULDEN LARGE SAMPLE EXTRACTOR (GLSE)], SILICA GEL CLEANUP AND ANALYSIS BY GAS CHROMATOGRAPHY WITH MICRO(µ)-ELECTRON CAPTURE (GC-µECD) AND MASS SELECTIVE DETECTORS (GC-MSD).  This data has been Blank Corrected.",
3129,5,PCB50_BLCorr,"1,3,5-trichloro-2-(2-chlorophenyl)benzene",ng/L,"THIS METHOD APPLIES TO A QUALITATIVE AND QUANTITATIVE DETERMINATION OF CHLOROBENZENES (CBs), ORGANOCHLORINE PESTICIDES (OCs), NEUTRAL HERBICIDES (NHs), POLYCYCLIC AROMATIC HYDROCARBONS (PAHs) AND CONGENER SPECIFIC POLYCHLORINATED BIPHENYLS (cPCBs) FROM 16-24 L OF FILTERED/CENTRIFUGED WATER USING LIQUID/LIQUID EXTRACTION [GOULDEN LARGE SAMPLE EXTRACTOR (GLSE)], SILICA GEL CLEANUP AND ANALYSIS BY GAS CHROMATOGRAPHY WITH MICRO(µ)-ELECTRON CAPTURE (GC-µECD) AND MASS SELECTIVE DETECTORS (GC-MSD).  This data has been Blank Corrected.",
3130,5,PCB51_BLCorr,"2,2',4,6'-tetrachlorobiphenyl",ng/L,"THIS METHOD APPLIES TO A QUALITATIVE AND QUANTITATIVE DETERMINATION OF CHLOROBENZENES (CBs), ORGANOCHLORINE PESTICIDES (OCs), NEUTRAL HERBICIDES (NHs), POLYCYCLIC AROMATIC HYDROCARBONS (PAHs) AND CONGENER SPECIFIC POLYCHLORINATED BIPHENYLS (cPCBs) FROM 16-24 L OF FILTERED/CENTRIFUGED WATER USING LIQUID/LIQUID EXTRACTION [GOULDEN LARGE SAMPLE EXTRACTOR (GLSE)], SILICA GEL CLEANUP AND ANALYSIS BY GAS CHROMATOGRAPHY WITH MICRO(µ)-ELECTRON CAPTURE (GC-µECD) AND MASS SELECTIVE DETECTORS (GC-MSD).  This data has been Blank Corrected.",
3131,5,PCB52_BLCorr,1088,ng/L,"THIS METHOD APPLIES TO A QUALITATIVE AND QUANTITATIVE DETERMINATION OF CHLOROBENZENES (CBs), ORGANOCHLORINE PESTICIDES (OCs), NEUTRAL HERBICIDES (NHs), POLYCYCLIC AROMATIC HYDROCARBONS (PAHs) AND CONGENER SPECIFIC POLYCHLORINATED BIPHENYLS (cPCBs) FROM 16-24 L OF FILTERED/CENTRIFUGED WATER USING LIQUID/LIQUID EXTRACTION [GOULDEN LARGE SAMPLE EXTRACTOR (GLSE)], SILICA GEL CLEANUP AND ANALYSIS BY GAS CHROMATOGRAPHY WITH MICRO(µ)-ELECTRON CAPTURE (GC-µECD) AND MASS SELECTIVE DETECTORS (GC-MSD).  This data has been Blank Corrected.",
3132,5,PCB53_BLCorr,1265,ng/L,"THIS METHOD APPLIES TO A QUALITATIVE AND QUANTITATIVE DETERMINATION OF CHLOROBENZENES (CBs), ORGANOCHLORINE PESTICIDES (OCs), NEUTRAL HERBICIDES (NHs), POLYCYCLIC AROMATIC HYDROCARBONS (PAHs) AND CONGENER SPECIFIC POLYCHLORINATED BIPHENYLS (cPCBs) FROM 16-24 L OF FILTERED/CENTRIFUGED WATER USING LIQUID/LIQUID EXTRACTION [GOULDEN LARGE SAMPLE EXTRACTOR (GLSE)], SILICA GEL CLEANUP AND ANALYSIS BY GAS CHROMATOGRAPHY WITH MICRO(µ)-ELECTRON CAPTURE (GC-µECD) AND MASS SELECTIVE DETECTORS (GC-MSD).  This data has been Blank Corrected.",
3133,5,PCB53(HEP)_BLCorr,"1,4-dichloro-2-(2,6-dichlorophenyl)benzene/1,5,7,8,9,10,10-heptachlorotricyclo[5.2.1.0^{2,6}]deca-3,8-diene",ng/L,"THIS METHOD APPLIES TO A QUALITATIVE AND QUANTITATIVE DETERMINATION OF CHLOROBENZENES (CBs), ORGANOCHLORINE PESTICIDES (OCs), NEUTRAL HERBICIDES (NHs), POLYCYCLIC AROMATIC HYDROCARBONS (PAHs) AND CONGENER SPECIFIC POLYCHLORINATED BIPHENYLS (cPCBs) FROM 16-24 L OF FILTERED/CENTRIFUGED WATER USING LIQUID/LIQUID EXTRACTION [GOULDEN LARGE SAMPLE EXTRACTOR (GLSE)], SILICA GEL CLEANUP AND ANALYSIS BY GAS CHROMATOGRAPHY WITH MICRO(µ)-ELECTRON CAPTURE (GC-µECD) AND MASS SELECTIVE DETECTORS (GC-MSD).  This data has been Blank Corrected.",
3134,5,"PCB54,29_BLCorr","2,2',6,6'-tetrachlorobiphenyl/2,4,5-Trichlorobiphenyl",ng/L,"THIS METHOD APPLIES TO A QUALITATIVE AND QUANTITATIVE DETERMINATION OF CHLOROBENZENES (CBs), ORGANOCHLORINE PESTICIDES (OCs), NEUTRAL HERBICIDES (NHs), POLYCYCLIC AROMATIC HYDROCARBONS (PAHs) AND CONGENER SPECIFIC POLYCHLORINATED BIPHENYLS (cPCBs) FROM 16-24 L OF FILTERED/CENTRIFUGED WATER USING LIQUID/LIQUID EXTRACTION [GOULDEN LARGE SAMPLE EXTRACTOR (GLSE)], SILICA GEL CLEANUP AND ANALYSIS BY GAS CHROMATOGRAPHY WITH MICRO(µ)-ELECTRON CAPTURE (GC-µECD) AND MASS SELECTIVE DETECTORS (GC-MSD).  This data has been Blank Corrected.",
3135,5,PCB55_BLCorr,1266,ng/L,"THIS METHOD APPLIES TO A QUALITATIVE AND QUANTITATIVE DETERMINATION OF CHLOROBENZENES (CBs), ORGANOCHLORINE PESTICIDES (OCs), NEUTRAL HERBICIDES (NHs), POLYCYCLIC AROMATIC HYDROCARBONS (PAHs) AND CONGENER SPECIFIC POLYCHLORINATED BIPHENYLS (cPCBs) FROM 16-24 L OF FILTERED/CENTRIFUGED WATER USING LIQUID/LIQUID EXTRACTION [GOULDEN LARGE SAMPLE EXTRACTOR (GLSE)], SILICA GEL CLEANUP AND ANALYSIS BY GAS CHROMATOGRAPHY WITH MICRO(µ)-ELECTRON CAPTURE (GC-µECD) AND MASS SELECTIVE DETECTORS (GC-MSD).  This data has been Blank Corrected.",
3136,5,"PCB56,60_BLCorr",1576,ng/L,"THIS METHOD APPLIES TO A QUALITATIVE AND QUANTITATIVE DETERMINATION OF CHLOROBENZENES (CBs), ORGANOCHLORINE PESTICIDES (OCs), NEUTRAL HERBICIDES (NHs), POLYCYCLIC AROMATIC HYDROCARBONS (PAHs) AND CONGENER SPECIFIC POLYCHLORINATED BIPHENYLS (cPCBs) FROM 16-24 L OF FILTERED/CENTRIFUGED WATER USING LIQUID/LIQUID EXTRACTION [GOULDEN LARGE SAMPLE EXTRACTOR (GLSE)], SILICA GEL CLEANUP AND ANALYSIS BY GAS CHROMATOGRAPHY WITH MICRO(µ)-ELECTRON CAPTURE (GC-µECD) AND MASS SELECTIVE DETECTORS (GC-MSD).  This data has been Blank Corrected.",
3137,5,PCB59_BLCorr,"2,3,3',6-tetrachlorobiphenyl",ng/L,"THIS METHOD APPLIES TO A QUALITATIVE AND QUANTITATIVE DETERMINATION OF CHLOROBENZENES (CBs), ORGANOCHLORINE PESTICIDES (OCs), NEUTRAL HERBICIDES (NHs), POLYCYCLIC AROMATIC HYDROCARBONS (PAHs) AND CONGENER SPECIFIC POLYCHLORINATED BIPHENYLS (cPCBs) FROM 16-24 L OF FILTERED/CENTRIFUGED WATER USING LIQUID/LIQUID EXTRACTION [GOULDEN LARGE SAMPLE EXTRACTOR (GLSE)], SILICA GEL CLEANUP AND ANALYSIS BY GAS CHROMATOGRAPHY WITH MICRO(µ)-ELECTRON CAPTURE (GC-µECD) AND MASS SELECTIVE DETECTORS (GC-MSD).  This data has been Blank Corrected.",
3138,5,PCB6_BLCorr,1267,ng/L,"THIS METHOD APPLIES TO A QUALITATIVE AND QUANTITATIVE DETERMINATION OF CHLOROBENZENES (CBs), ORGANOCHLORINE PESTICIDES (OCs), NEUTRAL HERBICIDES (NHs), POLYCYCLIC AROMATIC HYDROCARBONS (PAHs) AND CONGENER SPECIFIC POLYCHLORINATED BIPHENYLS (cPCBs) FROM 16-24 L OF FILTERED/CENTRIFUGED WATER USING LIQUID/LIQUID EXTRACTION [GOULDEN LARGE SAMPLE EXTRACTOR (GLSE)], SILICA GEL CLEANUP AND ANALYSIS BY GAS CHROMATOGRAPHY WITH MICRO(µ)-ELECTRON CAPTURE (GC-µECD) AND MASS SELECTIVE DETECTORS (GC-MSD).  This data has been Blank Corrected.",
3139,5,PCB63_BLCorr,1268,ng/L,"THIS METHOD APPLIES TO A QUALITATIVE AND QUANTITATIVE DETERMINATION OF CHLOROBENZENES (CBs), ORGANOCHLORINE PESTICIDES (OCs), NEUTRAL HERBICIDES (NHs), POLYCYCLIC AROMATIC HYDROCARBONS (PAHs) AND CONGENER SPECIFIC POLYCHLORINATED BIPHENYLS (cPCBs) FROM 16-24 L OF FILTERED/CENTRIFUGED WATER USING LIQUID/LIQUID EXTRACTION [GOULDEN LARGE SAMPLE EXTRACTOR (GLSE)], SILICA GEL CLEANUP AND ANALYSIS BY GAS CHROMATOGRAPHY WITH MICRO(µ)-ELECTRON CAPTURE (GC-µECD) AND MASS SELECTIVE DETECTORS (GC-MSD).  This data has been Blank Corrected.",
3140,5,PCB66_BLCorr,1089,ng/L,"THIS METHOD APPLIES TO A QUALITATIVE AND QUANTITATIVE DETERMINATION OF CHLOROBENZENES (CBs), ORGANOCHLORINE PESTICIDES (OCs), NEUTRAL HERBICIDES (NHs), POLYCYCLIC AROMATIC HYDROCARBONS (PAHs) AND CONGENER SPECIFIC POLYCHLORINATED BIPHENYLS (cPCBs) FROM 16-24 L OF FILTERED/CENTRIFUGED WATER USING LIQUID/LIQUID EXTRACTION [GOULDEN LARGE SAMPLE EXTRACTOR (GLSE)], SILICA GEL CLEANUP AND ANALYSIS BY GAS CHROMATOGRAPHY WITH MICRO(µ)-ELECTRON CAPTURE (GC-µECD) AND MASS SELECTIVE DETECTORS (GC-MSD).  This data has been Blank Corrected.",
3141,5,"PCB7,9_BLCorr",1269,ng/L,"THIS METHOD APPLIES TO A QUALITATIVE AND QUANTITATIVE DETERMINATION OF CHLOROBENZENES (CBs), ORGANOCHLORINE PESTICIDES (OCs), NEUTRAL HERBICIDES (NHs), POLYCYCLIC AROMATIC HYDROCARBONS (PAHs) AND CONGENER SPECIFIC POLYCHLORINATED BIPHENYLS (cPCBs) FROM 16-24 L OF FILTERED/CENTRIFUGED WATER USING LIQUID/LIQUID EXTRACTION [GOULDEN LARGE SAMPLE EXTRACTOR (GLSE)], SILICA GEL CLEANUP AND ANALYSIS BY GAS CHROMATOGRAPHY WITH MICRO(µ)-ELECTRON CAPTURE (GC-µECD) AND MASS SELECTIVE DETECTORS (GC-MSD).  This data has been Blank Corrected.",
3142,5,"PCB70,76_BLCorr",1577,ng/L,"THIS METHOD APPLIES TO A QUALITATIVE AND QUANTITATIVE DETERMINATION OF CHLOROBENZENES (CBs), ORGANOCHLORINE PESTICIDES (OCs), NEUTRAL HERBICIDES (NHs), POLYCYCLIC AROMATIC HYDROCARBONS (PAHs) AND CONGENER SPECIFIC POLYCHLORINATED BIPHENYLS (cPCBs) FROM 16-24 L OF FILTERED/CENTRIFUGED WATER USING LIQUID/LIQUID EXTRACTION [GOULDEN LARGE SAMPLE EXTRACTOR (GLSE)], SILICA GEL CLEANUP AND ANALYSIS BY GAS CHROMATOGRAPHY WITH MICRO(µ)-ELECTRON CAPTURE (GC-µECD) AND MASS SELECTIVE DETECTORS (GC-MSD).  This data has been Blank Corrected.",
3143,5,"PCB70,76,98_BLCorr","1,2-dichloro-4-(2,5-dichlorophenyl)benzene/1,2,3-trichloro-5-(2-chlorophenyl)benzene/2,2',3,4',6'-pentachlorobiphenyl",ng/L,"THIS METHOD APPLIES TO A QUALITATIVE AND QUANTITATIVE DETERMINATION OF CHLOROBENZENES (CBs), ORGANOCHLORINE PESTICIDES (OCs), NEUTRAL HERBICIDES (NHs), POLYCYCLIC AROMATIC HYDROCARBONS (PAHs) AND CONGENER SPECIFIC POLYCHLORINATED BIPHENYLS (cPCBs) FROM 16-24 L OF FILTERED/CENTRIFUGED WATER USING LIQUID/LIQUID EXTRACTION [GOULDEN LARGE SAMPLE EXTRACTOR (GLSE)], SILICA GEL CLEANUP AND ANALYSIS BY GAS CHROMATOGRAPHY WITH MICRO(µ)-ELECTRON CAPTURE (GC-µECD) AND MASS SELECTIVE DETECTORS (GC-MSD).  This data has been Blank Corrected.",
3144,5,PCB74_BLCorr,1578,ng/L,"THIS METHOD APPLIES TO A QUALITATIVE AND QUANTITATIVE DETERMINATION OF CHLOROBENZENES (CBs), ORGANOCHLORINE PESTICIDES (OCs), NEUTRAL HERBICIDES (NHs), POLYCYCLIC AROMATIC HYDROCARBONS (PAHs) AND CONGENER SPECIFIC POLYCHLORINATED BIPHENYLS (cPCBs) FROM 16-24 L OF FILTERED/CENTRIFUGED WATER USING LIQUID/LIQUID EXTRACTION [GOULDEN LARGE SAMPLE EXTRACTOR (GLSE)], SILICA GEL CLEANUP AND ANALYSIS BY GAS CHROMATOGRAPHY WITH MICRO(µ)-ELECTRON CAPTURE (GC-µECD) AND MASS SELECTIVE DETECTORS (GC-MSD).  This data has been Blank Corrected.",
3145,5,"PCB8,5_BLCorr",1273,ng/L,"THIS METHOD APPLIES TO A QUALITATIVE AND QUANTITATIVE DETERMINATION OF CHLOROBENZENES (CBs), ORGANOCHLORINE PESTICIDES (OCs), NEUTRAL HERBICIDES (NHs), POLYCYCLIC AROMATIC HYDROCARBONS (PAHs) AND CONGENER SPECIFIC POLYCHLORINATED BIPHENYLS (cPCBs) FROM 16-24 L OF FILTERED/CENTRIFUGED WATER USING LIQUID/LIQUID EXTRACTION [GOULDEN LARGE SAMPLE EXTRACTOR (GLSE)], SILICA GEL CLEANUP AND ANALYSIS BY GAS CHROMATOGRAPHY WITH MICRO(µ)-ELECTRON CAPTURE (GC-µECD) AND MASS SELECTIVE DETECTORS (GC-MSD).  This data has been Blank Corrected.",
