Hydstra code,Long name,Name,Analysis method (Short name),Unit short name
7603,Nitrogen total,635_00_00_00_14,302,MGL
7617,Nitrogen total,635_00_00_00_14,2554,MGL
106435,Nitrogen total,635_00_00_00_14,3379,MGL
9326,Nitrogen total,635_00_00_00_14,4226,MGL
78,Alkalinity total HCO3,365_00_00_00_14,30,MGL
79,Chlorophyll corrected,4541_00_00_00_14,35,UT
80,Chlorophyll A,414_00_00_00_14,41,UT
15864,Chlorophyll A,414_00_00_00_14,4469,UT
6711,Chlorophyll A,414_00_00_00_14,190,MGL
8250,Chlorophyll A,414_00_00_00_14,492,UT
6717,Chlorophyll A,414_00_00_00_14,198,MGL
150,Volume,875_00_00_00_19,6,MIL
157,Turbidity,864_00_00_00_28,188,NTU
1062,Turbidity,864_00_00_00_28,10000,NTU
459,Turbidity,864_00_00_00_28,47d1,NTU
15810,Turbidity,864_00_00_00_28,4469,NTU
4755,Turbidity,864_00_00_00_28,3033,NTU
104788,Turbidity,864_00_00_00_28,2752d2,NTU
106003,Turbidity,864_00_00_00_28,54d3,NTU
101168,Turbidity,864_00_00_00_28,2752d1,NTU
80152,Turbidity,864_00_00_00_28,1830,NTU
2081,Turbidity,864_00_00_00_28,54d1,NTU
2083,Turbidity,864_00_00_00_28,54d2,NTU
2074,Turbidity,864_00_00_00_28,47d2,NTU
160,Solids total,1073_00_00_00_14,189,MGL
201,Total dissolved solids (filterable residue) (calcd.),837_00_00_00_14,8,MGL
202,Total dissolved solids (filterable residue) (calcd.),837_00_00_00_14,9,MGL
203,Total dissolved solids (filterable residue) (calcd.),837_00_00_00_14,10,MGL
250,Lipids total,910_00_00_02_01,2353,PERC
251,"2,3,7,8-TCDD (agent orange)",129_00_00_01_02,2324,WISKI_PGG
96519,"2,3,7,8-TCDD (agent orange)",129_00_00_01_02,2045,WISKI_NGG
102620,"2,3,7,8-TCDD (agent orange)",129_00_00_01_02,2888,WISKI_NGG
9200,"2,3,7,8-TCDD (agent orange)",129_00_00_01_02,714,WISKI_PGG
13856,"2,3,7,8-TCDD (agent orange)",129_00_00_01_02,4405,WISKI_PGG
48969,"Total 2,3,7,8-tetrachlorodibenzo-p-dioxin (tetra_CDD_total)",918_00_00_01_02,3224,WISKI_NGG
252,"Total 2,3,7,8-tetrachlorodibenzo-p-dioxin (tetra_CDD_total)",918_00_00_01_02,2324,WISKI_PGG
253,Total_penta_CDD,919_00_00_01_02,2324,WISKI_PGG
48967,Total_penta_CDD,919_00_00_01_02,3224,WISKI_NGG
254,Total_hexa_CDD,920_00_00_01_02,2324,WISKI_PGG
255,Total_hepta_CDD,921_00_00_01_02,2324,WISKI_PGG
256,Octa_CDD,922_00_00_01_02,2324,WISKI_PGG
9206,Octa_CDD,922_00_00_01_02,714,WISKI_PGG
13862,Octa_CDD,922_00_00_01_02,4405,WISKI_PGG
13863,"2,3,7,8-TCDF",923_00_00_01_02,4405,WISKI_PGG
9207,"2,3,7,8-TCDF",923_00_00_01_02,714,WISKI_PGG
257,"2,3,7,8-TCDF",923_00_00_01_02,2324,WISKI_PGG
258,Total_tetra_CDF,924_00_00_01_02,2324,WISKI_PGG
259,Total_penta_CDF,925_00_00_01_02,2324,WISKI_PGG
260,Total_hexa_CDF,926_00_00_01_02,2324,WISKI_PGG
261,Total_hepta_CDF,927_00_00_01_02,2324,WISKI_PGG
262,Octa_CDF,928_00_00_01_02,2324,WISKI_PGG
9217,Octa_CDF,928_00_00_01_02,714,WISKI_PGG
13873,Octa_CDF,928_00_00_01_02,4405,WISKI_PGG
13901,"2,3,7,8-TCDD (agent orange)",129_00_00_00_14,4405,WISKI_PGL
10730,"2,3,7,8-TCDD (agent orange)",129_00_00_00_14,844,WISKI_PGL
102621,"2,3,7,8-TCDD (agent orange)",129_00_00_00_14,2889,WISKI_NGL
100422,"2,3,7,8-TCDD (agent orange)",129_00_00_00_14,2697,WISKI_NGL
96210,"2,3,7,8-TCDD (agent orange)",129_00_00_00_14,1947,WISKI_NGL
