Hydstra code,Long name,Name,Analysis method (Short name),Unit short name
14994,Perfluorododecanesulfonate (PFDoS),2057_00_00_00_14,4428,WISKI_NGL
14995,4:2 fluorotelomersulfonate (4:2 FTS),2058_00_00_00_14,4428,WISKI_NGL
13073,4:2 fluorotelomersulfonate (4:2 FTS),2058_00_00_00_14,4378,WISKI_NGL
96856,4:2 fluorotelomersulfonate (4:2 FTS),2058_00_00_00_14,741,WISKI_NGL
7131,4:2 fluorotelomersulfonate (4:2 FTS),2058_00_00_00_14,605,WISKI_NGL
7132,6:2 fluorotelomersulfonate (6:2 FTS),2059_00_00_00_14,605,WISKI_NGL
13074,6:2 fluorotelomersulfonate (6:2 FTS),2059_00_00_00_14,4378,WISKI_NGL
96857,6:2 fluorotelomersulfonate (6:2 FTS),2059_00_00_00_14,741,WISKI_NGL
14996,6:2 fluorotelomersulfonate (6:2 FTS),2059_00_00_00_14,4428,WISKI_NGL
13075,8:2 fluorotelomersulfonate (8:2 FTS),2060_00_00_00_14,4378,WISKI_NGL
96858,8:2 fluorotelomersulfonate (8:2 FTS),2060_00_00_00_14,741,WISKI_NGL
14997,8:2 fluorotelomersulfonate (8:2 FTS),2060_00_00_00_14,4428,WISKI_NGL
7133,8:2 fluorotelomersulfonate (8:2 FTS),2060_00_00_00_14,605,WISKI_NGL
7134,n-methylperfluoro-1-octanesulfonamide (N-MeFOSA),1880_00_00_00_14,605,WISKI_NGL
14999,n-methylperfluoro-1-octanesulfonamide (N-MeFOSA),1880_00_00_00_14,4428,WISKI_NGL
96862,n-methylperfluoro-1-octanesulfonamide (N-MeFOSA),1880_00_00_00_14,741,WISKI_NGL
13079,n-methylperfluoro-1-octanesulfonamide (N-MeFOSA),1880_00_00_00_14,4378,WISKI_NGL
13080,N-ethylperfluoro-1-octanesulfonamide (N-EtFOSA),1878_00_00_00_14,4378,WISKI_NGL
15000,N-ethylperfluoro-1-octanesulfonamide (N-EtFOSA),1878_00_00_00_14,4428,WISKI_NGL
96863,N-ethylperfluoro-1-octanesulfonamide (N-EtFOSA),1878_00_00_00_14,741,WISKI_NGL
7135,N-ethylperfluoro-1-octanesulfonamide (N-EtFOSA),1878_00_00_00_14,605,WISKI_NGL
7136,N-methyl perfluorooctane sulfonamidoacetic acid (MeFOSAA),1879_00_00_00_14,605,WISKI_NGL
96859,N-methyl perfluorooctane sulfonamidoacetic acid (MeFOSAA),1879_00_00_00_14,741,WISKI_NGL
15536,N-methyl perfluorooctane sulfonamidoacetic acid (MeFOSAA),1879_00_00_00_14,4428,WISKI_NGL
15535,N-ethyl perfluorooctane sulfonamidoacetic acid (EtFOSAA),1877_00_00_00_14,4428,WISKI_NGL
96860,N-ethyl perfluorooctane sulfonamidoacetic acid (EtFOSAA),1877_00_00_00_14,741,WISKI_NGL
7137,N-ethyl perfluorooctane sulfonamidoacetic acid (EtFOSAA),1877_00_00_00_14,605,WISKI_NGL
7138,2-(n-methylperfluoro-1-octanesulfonamido)-ethanol (N-MeFOSE),1873_00_00_00_14,605,WISKI_NGL
96864,2-(n-methylperfluoro-1-octanesulfonamido)-ethanol (N-MeFOSE),1873_00_00_00_14,741,WISKI_NGL
15001,2-(n-methylperfluoro-1-octanesulfonamido)-ethanol (N-MeFOSE),1873_00_00_00_14,4428,WISKI_NGL
15002,2-(n-ethylperfluoro-1-octanesulfonamido)-ethanol (N-EtFOSE),1872_00_00_00_14,4428,WISKI_NGL
96865,2-(n-ethylperfluoro-1-octanesulfonamido)-ethanol (N-EtFOSE),1872_00_00_00_14,741,WISKI_NGL
7139,2-(n-ethylperfluoro-1-octanesulfonamido)-ethanol (N-EtFOSE),1872_00_00_00_14,605,WISKI_NGL
7140,Perfluoropentanoate-13C5 (PFPeA-13C5),2061_00_00_00_01,605,PERC
96878,Perfluoropentanoate-13C5 (PFPeA-13C5),2061_00_00_00_01,741,PERC
15208,Perfluoropentanoate-13C5 (PFPeA-13C5),2061_00_00_00_01,4428,PERC
96879,Perfluorohexanoate-13C5 (PFHxA-13C5),2062_00_00_00_01,741,PERC
7141,Perfluorohexanoate-13C5 (PFHxA-13C5),2062_00_00_00_01,605,PERC
15209,Perfluorohexanoate-13C5 (PFHxA-13C5),2062_00_00_00_01,4428,PERC
7142,Perfluoroheptanoate-13C4 (PFHpA-13C4),2063_00_00_00_01,605,PERC
96880,Perfluoroheptanoate-13C4 (PFHpA-13C4),2063_00_00_00_01,741,PERC
15210,Perfluoroheptanoate-13C4 (PFHpA-13C4),2063_00_00_00_01,4428,PERC
15211,Perfluorooctanoate-13C8 (PFOA-13C8),2064_00_00_00_01,4428,PERC
96881,Perfluorooctanoate-13C8 (PFOA-13C8),2064_00_00_00_01,741,PERC
7143,Perfluorooctanoate-13C8 (PFOA-13C8),2064_00_00_00_01,605,PERC
7144,Perfluorononanoate-13C9 (PFNA-13C9),2065_00_00_00_01,605,PERC
96882,Perfluorononanoate-13C9 (PFNA-13C9),2065_00_00_00_01,741,PERC
15212,Perfluorononanoate-13C9 (PFNA-13C9),2065_00_00_00_01,4428,PERC
96883,Perfluorodecanoate-13C6 (PFDA-13C6),2066_00_00_00_01,741,PERC
7145,Perfluorodecanoate-13C6 (PFDA-13C6),2066_00_00_00_01,605,PERC
15213,Perfluorodecanoate-13C6 (PFDA-13C6),2066_00_00_00_01,4428,PERC
7146,Perfluoroundecanoate-13C7 (PFUnA),2067_00_00_00_01,605,PERC
96884,Perfluoroundecanoate-13C7 (PFUnA),2067_00_00_00_01,741,PERC
15214,Perfluoroundecanoate-13C7 (PFUnA),2067_00_00_00_01,4428,PERC
15216,Perfluorotetradecanoate-13C2 (PFTeDA-13C2),2081_00_00_00_01,4428,PERC
96886,Perfluorotetradecanoate-13C2 (PFTeDA-13C2),2081_00_00_00_01,741,PERC
7147,Perfluorotetradecanoate-13C2 (PFTeDA-13C2),2081_00_00_00_01,605,PERC
7148,Perfluorobutanesulfonate-13C3 (PFBS-1-13C3),2069_00_00_00_01,605,PERC
96887,Perfluorobutanesulfonate-13C3 (PFBS-1-13C3),2069_00_00_00_01,741,PERC
15217,Perfluorobutanesulfonate-13C3 (PFBS-1-13C3),2069_00_00_00_01,4428,PERC
96888,Perfluorohexanesulfonate-13C3 (PFHXS-1-13C3),2070_00_00_00_01,741,PERC
7149,Perfluorohexanesulfonate-13C3 (PFHXS-1-13C3),2070_00_00_00_01,605,PERC
15218,Perfluorohexanesulfonate-13C3 (PFHXS-1-13C3),2070_00_00_00_01,4428,PERC
15219,Perfluorooctanesulfonate-13C8 (PFOS-1-13C8),2071_00_00_00_01,4428,PERC
7150,Perfluorooctanesulfonate-13C8 (PFOS-1-13C8),2071_00_00_00_01,605,PERC
96889,Perfluorooctanesulfonate-13C8 (PFOS-1-13C8),2071_00_00_00_01,741,PERC
7151,4:2 fluorotelomersulfonate-13C2 (4:2 FTS-13C2),2072_00_00_00_01,605,PERC
15220,4:2 fluorotelomersulfonate-13C2 (4:2 FTS-13C2),2072_00_00_00_01,4428,PERC
15221,6:2 fluorotelomersulfonate-13C2 (6:2 FTS-13C2),2073_00_00_00_01,4428,PERC
7152,6:2 fluorotelomersulfonate-13C2 (6:2 FTS-13C2),2073_00_00_00_01,605,PERC
7153,8:2 fluorotelomersulfonate-13C2 (8:2 FTS-13C2),2074_00_00_00_01,605,PERC
15222,8:2 fluorotelomersulfonate-13C2 (8:2 FTS-13C2),2074_00_00_00_01,4428,PERC
15224,N-Methylperfluorooctanesulfonamide-D3 (MeFOSA-D3),2075_00_00_00_01,4428,PERC
7154,N-Methylperfluorooctanesulfonamide-D3 (MeFOSA-D3),2075_00_00_00_01,605,PERC
96894,N-Methylperfluorooctanesulfonamide-D3 (MeFOSA-D3),2075_00_00_00_01,741,PERC
96895,N-EtFOSA-D5,2076_00_00_00_01,741,PERC
7155,N-EtFOSA-D5,2076_00_00_00_01,605,PERC
15225,N-EtFOSA-D5,2076_00_00_00_01,4428,PERC
15226,MeFOSAA-D3,2077_00_00_00_01,4428,PERC
7156,MeFOSAA-D3,2077_00_00_00_01,605,PERC
96896,MeFOSAA-D3,2077_00_00_00_01,741,PERC
96897,EtFOSAA-D5,2078_00_00_00_01,741,PERC
7157,EtFOSAA-D5,2078_00_00_00_01,605,PERC
15227,EtFOSAA-D5,2078_00_00_00_01,4428,PERC
7158,NMe-FOSE-D7,2079_00_00_00_01,605,PERC
96898,NMe-FOSE-D7,2079_00_00_00_01,741,PERC
15228,NMe-FOSE-D7,2079_00_00_00_01,4428,PERC
15229,NEt-FOSE-D9,2080_00_00_00_01,4428,PERC
96899,NEt-FOSE-D9,2080_00_00_00_01,741,PERC
7159,NEt-FOSE-D9,2080_00_00_00_01,605,PERC
7205,Nitrogen dissolved nitrite,613_00_00_00_14,2359,MGL
7206,Nitrogen dissolved nitrite,613_00_00_00_14,239,MGL
106018,Nitrogen dissolved nitrite,613_00_00_00_14,3303,MGL
7208,Dechlorane (Mirex),3283_00_00_00_14,717,WISKI_NGL
7209,anti-dechlorane plus (anti-DP),1634_00_00_00_14,717,WISKI_NGL
7210,syn-dechlorane plus (syn-DP),1635_00_00_00_14,717,WISKI_NGL
7211,Dechlorane 602,3284_00_00_00_14,717,WISKI_NGL
7212,Dechlorane 603,3285_00_00_00_14,717,WISKI_NGL
7213,Dechlorane 604 Component A,3286_00_00_00_14,717,WISKI_NGL
7214,Hexachlorocyclopentadienyl-dibromocyclooctane (HCDBCO),3287_00_00_00_14,717,WISKI_NGL
7215,"2,4,6-tribromophenylallyl ether",3288_00_00_00_14,717,WISKI_NGL
7216,"2-bromoallyl 2,4,6-tribromophenyl ether (BATE)",1631_00_00_00_14,717,WISKI_NGL
7217,"2,3-dibromopropyl 2,4,6-tribromophenyl ether (DPTE)",1630_00_00_00_14,717,WISKI_NGL
7219,bis(2-ethyl-1-hexyl)tetrabromophthalate (BEHTBP),1643_00_00_00_14,717,WISKI_NGL
7220,"2-ethylhexyl-2,3,4,5-tetrabromobenzoate (EHTeBB or EHTBB)",1632_00_00_00_14,717,WISKI_NGL
7221,"1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane (total TBECH)",3289_00_00_00_14,717,WISKI_NGL
7223,"1,2,3,4,5-pentabromobenzene (PBBZ)",1626_00_00_00_14,717,WISKI_NGL
7224,"1,2,4,5-tetrabromobenzene/1,2,3,5-tetrabromobenzene (1,2,4,5/1,2,3,5-TBB)",3300_00_00_00_14,717,WISKI_NGL
7226,"1,2,4-tribromobenzene (1,2,4-triBB)",3291_00_00_00_14,717,WISKI_NGL
7227,"1,2-dibromobenzene (1,2-diBB)",3292_00_00_00_14,717,WISKI_NGL
7228,"1,4-dibromobenzene (1,4-diBB)",3293_00_00_00_14,717,WISKI_NGL
7229,Pentabromotoluene (PBTo OR PBT),1647_00_00_00_14,717,WISKI_NGL
7231,Pentabromobenzyl bromide (PBBB),3294_00_00_00_14,717,WISKI_NGL
7232,"2,3,5,6-tetrabromo-p-xylene (pTBX)",1629_00_00_00_14,717,WISKI_NGL
7233,Tetrabromo-o-chlorotoluene (TBCT),1648_00_00_00_14,717,WISKI_NGL
7235,Dechlorane-13C10,3295_00_00_00_01,717,PERC
7236,"1,2,3,4,5-pentabromobenzene-13C6",3296_00_00_00_01,717,PERC
7238,Dechlorane 602-13C10,3297_00_00_00_01,717,PERC
7239,Dechlorane plus Anti-13C10,3298_00_00_00_01,717,PERC
7240,Dechlorane plus Syn-13C10,3299_00_00_00_01,717,PERC
7260,Nitrogen nitrite,612_00_00_01_02,251,MIGG
7306,Dissolved nitrogen nitrate,615_00_00_00_14,258d1,MGL
7307,Dissolved nitrogen nitrate,615_00_00_00_14,258d2,MGL
7308,Dissolved nitrogen nitrate,615_00_00_00_14,260,MGL
106017,Dissolved nitrogen nitrate,615_00_00_00_14,3303,MGL
49192,Dissolved nitrogen nitrate,615_00_00_00_14,562,MGL
61075,Perfluoro-n-butanoic acid (PFBA) OR Perfluorobutanoate,1884_00_00_01_02,4320,WISKI_NGG
7319,Perfluoro-n-butanoic acid (PFBA) OR Perfluorobutanoate,1884_00_00_01_02,716,WISKI_NGG
7320,Perfluoro-n-pentanoic acid (PFPeA) OR Perfluoropentanoate,1891_00_00_01_02,716,WISKI_NGG
61076,Perfluoro-n-pentanoic acid (PFPeA) OR Perfluoropentanoate,1891_00_00_01_02,4320,WISKI_NGG
61077,Perfluoro-n-hexanoic acid (PFHxA) OR Perfluorohexanoate,1888_00_00_01_02,4320,WISKI_NGG
7321,Perfluoro-n-hexanoic acid (PFHxA) OR Perfluorohexanoate,1888_00_00_01_02,716,WISKI_NGG
7322,Perfluoro-n-heptanoic acid (PFHpA) OR Perfluoroheptanoate,1887_00_00_01_02,716,WISKI_NGG
61078,Perfluoro-n-heptanoic acid (PFHpA) OR Perfluoroheptanoate,1887_00_00_01_02,4320,WISKI_NGG
61079,Perfluoro-n-octanoic acid (PFOA) OR Perfluorooctanoate,1890_00_00_01_02,4320,WISKI_NGG
7323,Perfluoro-n-octanoic acid (PFOA) OR Perfluorooctanoate,1890_00_00_01_02,716,WISKI_NGG
7324,Perfluoro-n-nonanoic acid (PFNA) OR Perfluorononanoate,1889_00_00_01_02,716,WISKI_NGG
61080,Perfluoro-n-nonanoic acid (PFNA) OR Perfluorononanoate,1889_00_00_01_02,4320,WISKI_NGG
61081,Perfluoro-n-decanoic acid (PFDA) OR Perfluorodecanoate,1885_00_00_01_02,4320,WISKI_NGG
7325,Perfluoro-n-decanoic acid (PFDA) OR Perfluorodecanoate,1885_00_00_01_02,716,WISKI_NGG
7326,Perfluoroundecanoate (PFUnA),4762_00_00_01_02,716,WISKI_NGG
7327,Perfluoro-n-dodecanoic acid (PFDoA) OR Perfluorododecanoate,1886_00_00_01_02,716,WISKI_NGG
7328,Perfluoro-n-tridecanoic acid (PFTrDA) OR Perfluorotridecanoate,1893_00_00_01_02,716,WISKI_NGG
7329,Perfluoro-n-tetradecanoic acid (PFTeDA) OR Perfluorotetradecanoate,1892_00_00_01_02,716,WISKI_NGG
7330,Perfluorobutanesulfonate (PFBS) OR perfluorobutane sulfonic acid,1895_00_00_01_02,716,WISKI_NGG
61070,Perfluorobutanesulfonate (PFBS) OR perfluorobutane sulfonic acid,1895_00_00_01_02,4320,WISKI_NGG
7331,Perfluoropentanesulfonate (PFPeS),2053_00_00_01_02,716,WISKI_NGG
7332,Perfluorohexanesulfonate (PFHxS) OR Perfluorohexanesulfonic acid,1896_00_00_01_02,716,WISKI_NGG
61071,Perfluorohexanesulfonate (PFHxS) OR Perfluorohexanesulfonic acid,1896_00_00_01_02,4320,WISKI_NGG
7333,Perfluoroheptanesulfonate (PFHpS),2054_00_00_01_02,716,WISKI_NGG
7334,Perfluorooctane sulfonate (PFOS),1897_00_00_01_02,716,WISKI_NGG
61073,Perfluorooctane sulfonate (PFOS),1897_00_00_01_02,4320,WISKI_NGG
7335,Perfluorononanesulfonate (PFNS),2055_00_00_01_02,716,WISKI_NGG
7336,Perfluorodecanesulfonate (PFDS),2056_00_00_01_02,716,WISKI_NGG
7337,Perfluorododecanesulfonate (PFDoS),2057_00_00_01_02,716,WISKI_NGG
7338,4:2 fluorotelomersulfonate (4:2 FTS),2058_00_00_01_02,716,WISKI_NGG
7339,6:2 fluorotelomersulfonate (6:2 FTS),2059_00_00_01_02,716,WISKI_NGG
61086,6:2 fluorotelomersulfonate (6:2 FTS),2059_00_00_01_02,4320,WISKI_NGG
61087,8:2 fluorotelomersulfonate (8:2 FTS),2060_00_00_01_02,4320,WISKI_NGG
7340,8:2 fluorotelomersulfonate (8:2 FTS),2060_00_00_01_02,716,WISKI_NGG
7341,N-methyl perfluorooctane sulfonamidoacetic acid (MeFOSAA),1879_00_00_01_02,716,WISKI_NGG
7342,N-ethyl perfluorooctane sulfonamidoacetic acid (EtFOSAA),1877_00_00_01_02,716,WISKI_NGG
7343,Perfluoro-1-octanesulfonamide (PFOSA ou FOSA),1883_00_00_01_02,716,WISKI_NGG
7344,n-methylperfluoro-1-octanesulfonamide (N-MeFOSA),1880_00_00_01_02,716,WISKI_NGG
7345,N-ethylperfluoro-1-octanesulfonamide (N-EtFOSA),1878_00_00_01_02,716,WISKI_NGG
7346,2-(n-ethylperfluoro-1-octanesulfonamido)-ethanol (N-EtFOSE),1872_00_00_01_02,716,WISKI_NGG
7347,2-(n-methylperfluoro-1-octanesulfonamido)-ethanol (N-MeFOSE),1873_00_00_01_02,716,WISKI_NGG
7348,Perfluoro-2-propoxypropanoate (HFPO-DA),2141_00_00_01_02,716,WISKI_NGG
7349,"4,8-dioxa-3H-perfluorononanoate (ADONA) OR Dodecafluoro-3H-4,8-dioxanonanoate",2140_00_00_01_02,716,WISKI_NGG
7350,9-chlorohexadecafluoro-3-oxanonane-1-sulfonate (9Cl-PF3ONS),2143_00_00_01_02,716,WISKI_NGG
7351,11-chloroeicosafluoro-3-oxaundecane-1-sulfonate (11Cl-PF3OUdS),2144_00_00_01_02,716,WISKI_NGG
7352,Perfluorobutanoate-13C4 (PFBA-13C4),4767_00_00_01_01,716,PERC
61091,Perfluorobutanoate-13C4 (PFBA-13C4),4767_00_00_01_01,4320,PERC
61092,Perfluoropentanoate-13C5 (PFPeA-13C5),2061_00_00_01_01,4320,PERC
7353,Perfluoropentanoate-13C5 (PFPeA-13C5),2061_00_00_01_01,716,PERC
7354,Perfluorohexanoate-13C5 (PFHxA-13C5),2062_00_00_01_01,716,PERC
61088,Perfluorohexanoate-13C5 (PFHxA-13C5),2062_00_00_01_01,4320,PERC
61094,Perfluoroheptanoate-13C4 (PFHpA-13C4),2063_00_00_01_01,4320,PERC
7355,Perfluoroheptanoate-13C4 (PFHpA-13C4),2063_00_00_01_01,716,PERC
7356,Perfluorooctanoate-13C8 (PFOA-13C8),2064_00_00_01_01,716,PERC
61090,Perfluorooctanoate-13C8 (PFOA-13C8),2064_00_00_01_01,4320,PERC
74473,Total nitrate,617_00_00_00_14,1922,MGL
7357,Total nitrate,617_00_00_00_14,268,MGL
15519,Total nitrate,617_00_00_00_14,4450,MGL
7358,Perfluorononanoate-13C9 (PFNA-13C9),2065_00_00_01_01,716,PERC
61095,Perfluorononanoate-13C9 (PFNA-13C9),2065_00_00_01_01,4320,PERC
61097,Perfluorodecanoate-13C6 (PFDA-13C6),2066_00_00_01_01,4320,PERC
7359,Perfluorodecanoate-13C6 (PFDA-13C6),2066_00_00_01_01,716,PERC
7360,Perfluoroundecanoate-13C7 (PFUnA),2067_00_00_01_01,716,PERC
61098,Perfluoroundecanoate-13C7 (PFUnA),2067_00_00_01_01,4320,PERC
7361,Perfluorododecanoate-13C2 (PFDoA-13C2),4772_00_00_01_01,716,PERC
7362,Perfluorotetradecanoate-13C2 (PFTeDA-13C2),2081_00_00_01_01,716,PERC
61099,Perfluorotetradecanoate-13C2 (PFTeDA-13C2),2081_00_00_01_01,4320,PERC
61093,Perfluorobutanesulfonate-13C3 (PFBS-1-13C3),2069_00_00_01_01,4320,PERC
7363,Perfluorobutanesulfonate-13C3 (PFBS-1-13C3),2069_00_00_01_01,716,PERC
7364,Perfluorohexanesulfonate-13C3 (PFHXS-1-13C3),2070_00_00_01_01,716,PERC
61089,Perfluorohexanesulfonate-13C3 (PFHXS-1-13C3),2070_00_00_01_01,4320,PERC
7365,Perfluorooctanesulfonate-13C8 (PFOS-1-13C8),2071_00_00_01_01,716,PERC
7366,4:2 fluorotelomersulfonate-13C (4:2 FTS-13C),2145_00_00_01_01,716,PERC
7367,6:2 fluorotelomersulfonate-13C (6:2 FTS-13C),2146_00_00_01_01,716,PERC
7368,8:2 fluorotelomersulfonate-13C (8:2 FTS-13C),2147_00_00_01_01,716,PERC
7369,Perfluorooctanesulfonamide-13C8 (PFOSA-13C8 ou FOSA-13C8),4775_00_00_01_01,716,PERC
7370,N-Methylperfluorooctanesulfonamide-D3 (MeFOSA-D3),2075_00_00_01_01,716,PERC
7371,N-EtFOSA-D5,2076_00_00_01_01,716,PERC
7372,MeFOSAA-D3,2077_00_00_01_01,716,PERC
7373,EtFOSAA-D5,2078_00_00_01_01,716,PERC
7374,NMe-FOSE-D7,2079_00_00_01_01,716,PERC
7375,NEt-FOSE-D9,2080_00_00_01_01,716,PERC
7376,Perfluoro-2-propoxypropanoate-13C3 (HFPO-DA-1-13C3),2148_00_00_01_01,716,PERC
7377,"Total short-chain chloroparaffin OR chlorinated alkanes, SC (C10-C13) total",4861_00_00_00_14,740,WISKI_NGL
61861,"Total short-chain chloroparaffin OR chlorinated alkanes, SC (C10-C13) total",4861_00_00_00_14,4358,WISKI_NGL
7378,Total medium-chain chloroparaffin,4862_00_00_00_14,740,WISKI_NGL
61862,Total medium-chain chloroparaffin,4862_00_00_00_14,4358,WISKI_NGL
7379,Total long-chain chloroparaffin,4863_00_00_00_14,740,WISKI_NGL
61863,Total long-chain chloroparaffin,4863_00_00_00_14,4358,WISKI_NGL
7380,Total chloroparaffin,4860_00_00_00_14,740,WISKI_NGL
61864,Total chloroparaffin,4860_00_00_00_14,4358,WISKI_NGL
7381,"Total short-chain chloroparaffin OR chlorinated alkanes, SC (C10-C13) total_dwt",4861_00_01_01_52,740,WISKI_NGG
7382,Total medium-chain chloroparaffin_dwt,4862_00_01_01_44,740,WISKI_NGG
7383,Total long-chain chloroparaffin_dwt,4863_00_01_01_44,740,WISKI_NGG
7384,Total chloroparaffin_dwt,4860_00_01_01_44,740,WISKI_NGG
7440,Acenaphthenes-C1,3639_00_00_00_14,692,WISKI_NGML
7442,Benzopyrenes/perylenes-C1,4832_00_00_00_14,692,WISKI_NGML
7443,Biphenyls-C1,3640_00_00_00_14,692,WISKI_NGML
7449,Benzopyrenes/perylenes-C2,4833_00_00_00_14,692,WISKI_NGML
7450,Biphenyls-C2,4050_00_00_00_14,692,WISKI_NGML
7456,Benzopyrenes/perylenes-C3,4834_00_00_00_14,692,WISKI_NGML
7462,Benzopyrenes/perylenes-C4,4835_00_00_00_14,692,WISKI_NGML
7466,benz[a]anthracenes/chrysenes-C5,4837_00_00_00_14,692,WISKI_NGML
7467,Benzopyrenes/perylenes-C5,4836_00_00_00_14,692,WISKI_NGML
7468,Fluoranthenes/pyrenes-C5,4838_00_00_00_14,692,WISKI_NGML
7469,Naphthalenes-C5,4526_00_00_00_14,692,WISKI_NGML
7470,Phenanthrenes/anthracenes-C5,4840_00_00_00_14,692,WISKI_NGML
7471,Acenaphthene-D10 (ACE-d10),1505_00_00_00_01,692,PERC
110581,Acenaphthene-D10 (ACE-d10),1505_00_00_00_01,4102,PERC
7485,Pyrene-D10,1491_00_00_00_01,692,PERC
8081,Pyrene-D10,1491_00_00_00_01,710,PERC
7567,Ammonia,603_00_00_00_14,2670,MGL
15807,Ammonia,603_00_00_00_14,4469,MGL
7565,Ammonia,603_00_00_00_14,219,MGL
310,Ammonia,603_00_00_00_14,278,MGL
7569,Ammonia un-ionized (calcd.),606_00_00_00_14,298,MGL
7570,Ammonia un-ionized (calcd.),606_00_00_00_14,299,MGL
7604,Nitrogen total,635_00_00_01_02,110,MIGG
7618,Dechlorane (Mirex),3283_00_00_01_02,723,WISKI_NGG
7619,anti-dechlorane plus (anti-DP),1634_00_00_01_02,723,WISKI_NGG
7620,syn-dechlorane plus (syn-DP),1635_00_00_01_02,723,WISKI_NGG
7621,Dechlorane 602,3284_00_00_01_02,723,WISKI_NGG
7622,Dechlorane 603,3285_00_00_01_02,723,WISKI_NGG
7623,Dechlorane 604 Component A,3286_00_00_01_02,723,WISKI_NGG
7624,Hexachlorocyclopentadienyl-dibromocyclooctane (HCDBCO),3287_00_00_01_02,723,WISKI_NGG
7625,"2,4,6-tribromophenylallyl ether",3288_00_00_01_02,723,WISKI_NGG
7626,"2-bromoallyl 2,4,6-tribromophenyl ether (BATE)",1631_00_00_01_02,723,WISKI_NGG
7627,"2,3-dibromopropyl 2,4,6-tribromophenyl ether (DPTE)",1630_00_00_01_02,723,WISKI_NGG
7628,"1,2-bis(2,4,6-tribromophenoxy)ethane (BTBPE)",1627_00_00_01_02,723,WISKI_NGG
9287,"1,2-bis(2,4,6-tribromophenoxy)ethane (BTBPE)",1627_00_00_01_02,3701,WISKI_PGG
7629,bis(2-ethyl-1-hexyl)tetrabromophthalate (BEHTBP),1643_00_00_01_02,723,WISKI_NGG
7630,"2-ethylhexyl-2,3,4,5-tetrabromobenzoate (EHTeBB or EHTBB)",1632_00_00_01_02,723,WISKI_NGG
7631,"1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane (total TBECH)",3289_00_00_01_02,723,WISKI_NGG
7632,Hexabromobenzene (HBB),1644_00_00_01_02,723,WISKI_NGG
9286,Hexabromobenzene (HBB),1644_00_00_01_02,3701,WISKI_PGG
16121,Hexabromobenzene (HBB),1644_00_00_01_02,4475,WISKI_PGG
7633,"1,2,3,4,5-pentabromobenzene (PBBZ)",1626_00_00_01_02,723,WISKI_NGG
7634,"1,2,4,5-tetrabromobenzene/1,2,3,5-tetrabromobenzene (1,2,4,5/1,2,3,5-TBB)",3300_00_00_01_02,723,WISKI_NGG
7635,"1,2,4-tribromobenzene (1,2,4-triBB)",3291_00_00_01_02,723,WISKI_NGG
7636,"1,2-dibromobenzene (1,2-diBB)",3292_00_00_01_02,723,WISKI_NGG
7637,"1,4-dibromobenzene (1,4-diBB)",3293_00_00_01_02,723,WISKI_NGG
7638,Pentabromotoluene (PBTo OR PBT),1647_00_00_01_02,723,WISKI_NGG
7639,Pentabromoethylbenzene (PBEB),1646_00_00_01_02,723,WISKI_NGG
9285,Pentabromoethylbenzene (PBEB),1646_00_00_01_02,3701,WISKI_PGG
16122,Pentabromoethylbenzene (PBEB),1646_00_00_01_02,4475,WISKI_PGG
7640,Pentabromobenzyl bromide (PBBB),3294_00_00_01_02,723,WISKI_NGG
7641,"2,3,5,6-tetrabromo-p-xylene (pTBX)",1629_00_00_01_02,723,WISKI_NGG
7642,Tetrabromo-o-chlorotoluene (TBCT),1648_00_00_01_02,723,WISKI_NGG
7643,"1,2-bis(2,4,6-tribromophenoxy)ethane (BTBPE)-13C12",1964_00_00_01_01,723,PERC
9302,"1,2-bis(2,4,6-tribromophenoxy)ethane (BTBPE)-13C12",1964_00_00_01_01,3701,PERC
7644,Dechlorane-13C10,3295_00_00_01_01,723,PERC
7645,"1,2,3,4,5-pentabromobenzene-13C6",3296_00_00_01_01,723,PERC
9347,"1,2,3,4,5-pentabromobenzene-13C6",3296_00_00_01_01,4228,PERC
9301,Hexabromobenzene (HBB)-13C6,1963_00_00_01_01,3701,PERC
9351,Hexabromobenzene (HBB)-13C6,1963_00_00_01_01,4228,PERC
7646,Hexabromobenzene (HBB)-13C6,1963_00_00_01_01,723,PERC
7647,Dechlorane 602-13C10,3297_00_00_01_01,723,PERC
7648,Dechlorane plus Anti-13C10,3298_00_00_01_01,723,PERC
9344,Dechlorane plus Anti-13C10,3298_00_00_01_01,4228,PERC
7649,Dechlorane plus Syn-13C10,3299_00_00_01_01,723,PERC
7651,Nitrogen dissolved,623_00_00_00_14,300,MGL
7652,Nitrogen dissolved,623_00_00_00_14,307,MGL
7743,Benzopyrenes/perylenes-C1,4832_00_00_01_02,693,MIGG
7749,Benzo(a)anthracenes/chrysenes-C2,4066_00_00_01_02,693,MIGG
7750,Benzopyrenes/perylenes-C2,4833_00_00_01_02,693,MIGG
7757,Benzopyrenes/perylenes-C3,4834_00_00_01_02,693,MIGG
7763,Benzopyrenes/perylenes-C4,4835_00_00_01_02,693,MIGG
7767,benz[a]anthracenes/chrysenes-C5,4837_00_00_01_02,693,MIGG
7768,Benzopyrenes/perylenes-C5,4836_00_00_01_02,693,MIGG
7769,Fluoranthenes/pyrenes-C5,4838_00_00_01_02,693,MIGG
7771,Phenanthrenes/anthracenes-C5,4840_00_00_01_02,693,MIGG
