National_VMV_Code,Parameter type code,Long name,Parameter list value,Unique parameter list values
7450,4050_00_00_00_14,Biphenyls-C2,Water - Hydrocarbons,
7451,4053_00_00_00_14,Dibenzothiophenes-C2,Water - Hydrocarbons,
7452,4405_00_00_00_14,Fluoranthenes/pyrenes-C2,Water - Hydrocarbons,
7453,4048_00_00_00_14,Naphthalenes-C2,Water - Hydrocarbons,
7454,4055_00_00_00_14,Phenanthrenes/anthracenes-C2,Water - Hydrocarbons,
7455,3635_00_00_00_14,benz(a)anthracenes/chrysenes-C3,Water - Hydrocarbons,
7456,4834_00_00_00_14,Benzopyrenes/perylenes-C3,Water - Hydrocarbons,
7457,4054_00_00_00_14,Dibenzothiophenes-C3,Water - Hydrocarbons,
7458,4408_00_00_00_14,Fluoranthenes/pyrenes-C3,Water - Hydrocarbons,
7459,4049_00_00_00_14,Naphthalenes-C3,Water - Hydrocarbons,
7460,1432_00_00_00_14,Phenanthrenes/anthracenes-C3,Water - Hydrocarbons,
7461,3636_00_00_00_14,benz(a)anthracenes/chrysenes-C4,Water - Hydrocarbons,
7462,4835_00_00_00_14,Benzopyrenes/perylenes-C4,Water - Hydrocarbons,
7463,4410_00_00_00_14,Fluoranthenes/pyrenes-C4,Water - Hydrocarbons,
7464,1430_00_00_00_14,Naphthalenes-C4,Water - Hydrocarbons,
7465,1433_00_00_00_14,Phenanthrenes/anthracenes-C4,Water - Hydrocarbons,
7466,4837_00_00_00_14,benz[a]anthracenes/chrysenes-C5,Water - Hydrocarbons,
7467,4836_00_00_00_14,Benzopyrenes/perylenes-C5,Water - Hydrocarbons,
7468,4838_00_00_00_14,Fluoranthenes/pyrenes-C5,Water - Hydrocarbons,
7469,4526_00_00_00_14,Naphthalenes-C5,Water - Hydrocarbons,
7470,4840_00_00_00_14,Phenanthrenes/anthracenes-C5,Water - Hydrocarbons,
7471,1505_00_00_00_01,Acenaphthene-D10 (ACE-d10),Water - Surrogate,
7472,3643_00_00_00_01,Acenaphthylene-D8,Water - Surrogate,
7473,3760_00_00_00_01,Benz(a)anthracene-D12,Water - Surrogate,
7474,3040_00_00_00_01,Benzo(a)pyrene-D12,Water - Surrogate,
7475,3761_00_00_00_01,Benzo(b)fluoranthene-D12,Water - Surrogate,
7476,1428_00_00_00_01,"Benzo(g,h,i)perylene-D12 (B-ghiPer-d12)",Water - Surrogate,
7477,3762_00_00_00_01,Benzo(k)fluoranthene-D12,Water - Surrogate,
7478,1426_00_00_00_01,Chrysene-D12 (Chry-d12),Water - Surrogate,
7479,1427_00_00_00_01,"Dibenzo(a,h)anthracene-D14",Water - Surrogate,
7480,3642_00_00_00_01,Fluoranthene-D10 (F-d10),Water - Surrogate,
7481,3763_00_00_00_01,"Indeno(1,2,3-c,d)pyrene-D12",Water - Surrogate,
7482,3037_00_00_00_01,Naphthalene-D8,Water - Surrogate,
7483,1156_00_00_00_01,Perylene-D12,Water - Surrogate,
7484,1425_00_00_00_01,Phenanthrene-D10 (Phe-d10),Water - Surrogate,
7485,1491_00_00_00_01,Pyrene-D10,Water - Surrogate,
7556,604_00_00_00_14,Ammonia dissolved,Water - Nutrients,
7557,604_00_00_00_14,Ammonia dissolved,Water - Nutrients,
7562,604_00_00_00_14,Ammonia dissolved,Water - Nutrients,
7563,604_00_00_00_14,Ammonia dissolved,Water - Nutrients,
7566,604_00_00_00_14,Ammonia dissolved,Water - Nutrients,
7570,606_00_00_00_14,Ammonia un-ionized (calcd.),Water - Nutrients,
7603,635_00_00_00_14,Nitrogen total,Water - Nutrients,
7902,632_00_00_00_14,Nitrogen particulate,Water - Nutrients,
7912,629_00_00_00_01,Nitrogen particulate organic,Water - Nutrients,
8005,92_00_00_00_14,Tetrahydronaphthalene,Water - Hydrocarbons,
8006,312_00_00_00_14,Naphthalene,Water - Hydrocarbons,
8007,306_00_00_00_14,Hexachlorobutadiene,Water - Hydrocarbons,
8008,315_00_00_00_14,2-chloronaphthalene,Water - Hydrocarbons,
8010,148_00_00_00_14,Acenaphthylene,Water - Hydrocarbons,
8011,292_00_00_00_14,Acenaphthene,Water - Hydrocarbons,
8012,237_00_00_00_14,Pentachlorobenzene,Water - Hydrocarbons,
8013,303_00_00_00_14,Fluorene,Water - Hydrocarbons,
8021,181_00_00_00_14,alpha-benzene hexachloride OR alpha-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH),Water - Hydrocarbons,
8023,91_00_00_00_14,Hexachlorobenzene,Water - Hydrocarbons,
8027,227_00_00_00_14,gamma-benzene hexachloride OR gamma-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH) OR Lindane,Water - Pesticides,
8029,299_00_00_00_14,Phenanthrene,Water - Hydrocarbons,
8031,1270_00_00_00_14,Anthracene,Water - Hydrocarbons,
8040,146_00_00_00_14,Fluoranthene,Water - Hydrocarbons,
8041,46_00_00_00_14,Captan,Water - Pesticides,
8042,207_00_00_00_14,gamma-chlordane,Water - Pesticides,
8043,1272_00_00_00_14,Pyrene,Water - Hydrocarbons,
8044,1045_00_00_00_14,Endosulfan I,Water - Pesticides,
8045,206_00_00_00_14,alpha-chlordane,Water - Pesticides,
8046,2852_00_00_00_14,trans-nonachlor,Water - Pesticides,
8047,235_00_00_00_14,Dieldrin,Water - Pesticides,
8048,261_00_00_00_14,"p,p'-DDE (4,4'-DDE)",Water - Pesticides,
8049,1046_00_00_00_14,Endosulfan II,Water - Pesticides,
8050,287_00_00_00_14,"o,p'-DDT (2,4'-DDT)",Water - Pesticides,
8052,1909_00_00_00_14,Endosulfan sulphate,Water - Pesticides,
8053,200_00_00_00_14,"p,p'-DDT (4,4'-DDT)",Water - Pesticides,
8056,219_00_00_00_14,Benzo(a)anthracene,Water - Hydrocarbons,
8058,155_00_00_00_14,Benzo(a)phenanthrene OR chrysene,Water - Hydrocarbons,
8060,165_00_00_00_14,Mirex,Water - Pesticides,
8062,145_00_00_00_14,Benzo(b)fluoranthene,Water - Hydrocarbons,
8063,147_00_00_00_14,Benzo(k)fluoranthene,Water - Hydrocarbons,
8064,137_00_00_00_14,Benzo(e)pyrene,Water - Hydrocarbons,
8065,204_00_00_00_14,Benzo(a)pyrene,Water - Hydrocarbons,
8066,140_00_00_00_14,"Indeno(1,2,3-c,d)pyrene",Water - Hydrocarbons,
8067,212_00_00_00_14,"Dibenzo(a,h)anthracene OR Dibenz(a,h)anthracene",Water - Hydrocarbons,
8068,132_00_00_00_14,"Benzo(g,h,i)perylene",Water - Hydrocarbons,
8069,1651_00_00_00_01,"1,3-dibromobenzene",Water - Hydrocarbons,
8070,243_00_00_00_01,"1,3,5-tribromobenzene",Water - Surrogate,
8071,3038_00_00_00_01,Fluorene-D10,Water - Surrogate,
8073,247_00_00_00_01,"1,2,4,5-tetrabromobenzene (1,2,4,5-TBB)",Water - Surrogate,
8075,2083_00_00_00_01,gamma-BHC-13C6 OR gamma-HCH-13C6,Water - Surrogate,
8076,42_00_00_00_01,delta-hexachlorocyclohexane-13C OR delta-HCH-13C or delta-BHC-13C,Water - Surrogate,
8079,2085_00_00_00_01,Oxychlordane-13C10,Water - Surrogate,
8080,2086_00_00_00_01,gamma-Chlordane-D10,Water - Surrogate,
8081,1491_00_00_00_01,Pyrene-D10,Water - Surrogate,
8082,2087_00_00_00_01,"p,p'-DDT-D8",Water - Surrogate,
8083,2088_00_00_00_01,Endosulfan sulfate-13C9,Water - Surrogate,
8084,3255_00_00_00_01,Methoxychlor-13C12,Water - Surrogate,
8085,1156_00_00_00_01,Perylene-D12,Water - Surrogate,
8086,3763_00_00_00_01,"Indeno(1,2,3-c,d)pyrene-D12",Water - Surrogate,
8101,659_00_00_00_14,Oxygen dissolved,Water - Oxygen,
8102,659_00_00_00_14,Oxygen dissolved,Water - Oxygen,
8501,641_00_00_00_14,Hydroxide (calcd.),Water - Major Ions,
9117,532_00_00_00_14,Fluoride dissolved,Water - Major Ions,
10101,364_00_00_00_14,Alkalinity total CaCO3,Water - Physical,
10110,363_00_00_00_14,Alkalinity Gran CaCO3,Water - Physical,
10111,364_00_00_00_14,Alkalinity total CaCO3,Water - Physical,
10151,366_00_00_00_14,Alkalinity phenolphthalein CaCO3,Water - Physical,
10301,687_00_00_00_29,pH,Water - Physical,
10406,749_00_00_00_14,Residue nonfilterable,Water - Physical,
10451,745_00_00_00_14,Residue filterable,Water - Physical,
10602,542_00_00_00_14,Hardness total (calcd.) CaCO3,Water - Physical,
10650,540_00_00_00_14,Hardness non-carbonated (calcd.),Water - Physical,
11005,602_00_00_00_14,Sodium total,Water - Major Ions,
11102,600_00_00_00_14,Sodium dissolved/filtered,Water - Major Ions,
11103,600_00_00_00_14,Sodium dissolved/filtered,Water - Major Ions,
11201,599_00_00_00_30,Sodium adsorption ratio (calcd.),Water - Major Ions,
11250,598_00_00_00_01,Sodium percentage (calcd.),Water - Major Ions,
12005,585_00_00_00_14,Magnesium total,Water - Major Ions,
12102,581_00_00_00_14,Magnesium dissolved,Water - Major Ions,
13009,373_00_00_00_14,Aluminum total,Water - Metal,
14108,784_00_00_00_14,SiO2,Water - Major Ions,
15102,731_00_00_00_14,Phosphorus total dissolved,Water - Nutrients,
15104,731_00_00_00_14,Phosphorus total dissolved,Water - Nutrients,
15265,700_00_00_00_14,Orthophosphate dissolved,Water - Nutrients,
15403,704_00_00_00_14,Phosphate total,Water - Nutrients,
15406,730_00_00_00_14,Phosphorus total,Water - Nutrients,
15411,730_00_00_00_14,Phosphorus total,Water - Nutrients,
15463,732_00_00_00_14,Phosphorus total filtered,Water - Nutrients,
15901,725_00_00_00_14,Phosphorus particulate (calcd.),Water - Nutrients,
16306,814_00_00_00_14,Sulphate dissolved,Water - Major Ions,
16309,814_00_00_00_14,Sulphate dissolved,Water - Major Ions,
17206,426_00_00_00_14,Chloride dissolved,Water - Major Ions,
17209,426_00_00_00_14,Chloride dissolved,Water - Major Ions,
17811,91_00_00_00_14,Hexachlorobenzene,Water - Hydrocarbons,
18000,200_00_00_00_14,"p,p'-DDT (4,4'-DDT)",Water - Pesticides,
18005,287_00_00_00_14,"o,p'-DDT (2,4'-DDT)",Water - Pesticides,
18010,260_00_00_00_14,"p,p'-dichlorodiphenyl dichloroethane (p,p'-DDD) OR 1,2-diphenyl tetrachloroethane (4,4'-DDD)",Water - Pesticides,
18020,261_00_00_00_14,"p,p'-DDE (4,4'-DDE)",Water - Pesticides,
18030,259_00_00_00_14,"p,p'-methoxychlor (methoxychlor)",Water - Pesticides,
18040,281_00_00_00_14,Heptachlor,Water - Pesticides,
18045,60_00_00_00_14,Heptachlor epoxide,Water - Pesticides,
18050,335_00_00_00_14,alpha-endosulfan,Water - Pesticides,
18055,187_00_00_00_14,Beta-endosulfan,Water - Pesticides,
18060,206_00_00_00_14,alpha-chlordane,Water - Pesticides,
18065,207_00_00_00_14,gamma-chlordane,Water - Pesticides,
18070,227_00_00_00_14,gamma-benzene hexachloride OR gamma-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH) OR Lindane,Water - Pesticides,
18075,181_00_00_00_14,alpha-benzene hexachloride OR alpha-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH),Water - Hydrocarbons,
18125,165_00_00_00_14,Mirex,Water - Pesticides,
18130,177_00_00_00_14,Aldrin,Water - Pesticides,
18140,258_00_00_00_14,Endrin,Water - Pesticides,
18150,235_00_00_00_14,Dieldrin,Water - Pesticides,
18164,114_00_00_00_14,Aroclor,Water - Hydrocarbons,
19005,567_00_00_00_14,Potassium total,Water - Major Ions,
19103,565_00_00_00_14,Potassium dissolved/filtered,Water - Major Ions,
19106,565_00_00_00_14,Potassium dissolved/filtered,Water - Major Ions,
20005,408_00_00_00_14,Calcium total,Water - Major Ions,
20103,404_00_00_00_14,Calcium dissolved,Water - Major Ions,
23009,878_00_00_00_14,Vanadium total,Water - Metal,
23053,878_00_00_01_02,Vanadium total,Sediment - Metal,
24009,463_00_00_00_14,Chromium total,Water - Metal,
24053,463_00_00_01_02,Chromium total,Sediment - Metal,
25010,591_00_00_00_14,Manganese total,Water - Metal,
25053,591_00_00_01_02,Manganese total,Sediment - Metal,
26004,519_00_00_00_14,Iron total,Water - Metal,
26009,519_00_00_00_14,Iron total,Water - Metal,
26053,519_00_00_01_02,Iron total,Sediment - Metal,
27009,456_00_00_00_14,Cobalt total,Water - Metal,
27053,456_00_00_01_02,Cobalt total,Sediment - Metal,
28009,610_00_00_00_14,Nickel total,Water - Metal,
28053,610_00_00_01_02,Nickel total,Sediment - Metal,
29009,470_00_00_00_14,Copper total,Water - Metal,
29053,470_00_00_01_02,Copper total,Sediment - Metal,
30009,890_00_00_00_14,Zinc total,Water - Metal,
30053,890_00_00_01_02,Zinc total,Sediment - Metal,
33011,379_00_00_00_14,Arsenic total,Water - Metal,
33108,376_00_00_00_14,Arsenic dissolved,Water - Metal,
34108,779_00_00_00_14,Selenium dissolved,Water - Metal,
36014,433_00_00_00_27,Fecal coliforms,Water - Biological,
36103,514_00_00_00_27,Fecal streptococci,Water - Biological,
38009,823_00_00_00_14,Strontium total,Water - Metal,
42009,595_00_00_00_14,Molybdenum total,Water - Metal,
48009,412_00_00_00_14,Cadmium total,Water - Metal,
48053,412_00_00_01_02,Cadmium total,Sediment - Metal,
56009,388_00_00_00_14,Barium total,Water - Metal,
61391,5291_00_00_00_01,13C10-gamma-chlordane,Water - Surrogate,
74343,1156_00_00_00_01,Perylene-D12,Water - Surrogate,
80015,549_00_00_00_14,Mercury total,Water - Metal,
80562,681_00_00_00_07,Lead radiation PB-210,Water - Radionuclides,
80563,2537_00_00_00_07,Polonium radiation total PO-210,Water - Radionuclides,
80564,739_00_00_00_07,Radium radiation RA-226,Water - Radionuclides,
80565,848_00_00_00_07,Thorium radiation TH-230,Water - Radionuclides,
82009,683_00_00_00_14,Lead total,Water - Metal,
82053,683_00_00_01_02,Lead total,Sediment - Metal,
96211,92_00_00_00_14,Tetrahydronaphthalene,Water - Hydrocarbons,
96212,314_00_00_00_14,2-methylnaphthalene,Water - Hydrocarbons,
96213,311_00_00_00_14,1-methylnaphthalene,Water - Hydrocarbons,
96214,315_00_00_00_14,2-chloronaphthalene,Water - Hydrocarbons,
96215,148_00_00_00_14,Acenaphthylene,Water - Hydrocarbons,
96216,292_00_00_00_14,Acenaphthene,Water - Hydrocarbons,
96217,303_00_00_00_14,Fluorene,Water - Hydrocarbons,
96218,299_00_00_00_14,Phenanthrene,Water - Hydrocarbons,
96219,1272_00_00_00_14,Pyrene,Water - Hydrocarbons,
96220,146_00_00_00_14,Fluoranthene,Water - Hydrocarbons,
96221,145_00_00_00_14,Benzo(b)fluoranthene,Water - Hydrocarbons,
96222,147_00_00_00_14,Benzo(k)fluoranthene,Water - Hydrocarbons,
96223,204_00_00_00_14,Benzo(a)pyrene,Water - Hydrocarbons,
96224,140_00_00_00_14,"Indeno(1,2,3-c,d)pyrene",Water - Hydrocarbons,
96225,132_00_00_00_14,"Benzo(g,h,i)perylene",Water - Hydrocarbons,
96226,327_00_00_00_14,Indene,Water - Hydrocarbons,
96550,327_00_00_01_02,Indene,Sediment - Hydrocarbons,
96551,92_00_00_01_02,Tetrahydronaphthalene,Sediment - Hydrocarbons,
96552,314_00_00_01_02,2-methylnaphthalene,Sediment - Hydrocarbons,
96553,311_00_00_01_02,1-methylnaphthalene,Sediment - Hydrocarbons,
96554,315_00_00_01_02,2-chloronaphthalene,Sediment - Hydrocarbons,
96555,148_00_00_01_02,Acenaphthylene,Sediment - Hydrocarbons,
96556,292_00_00_01_02,Acenaphthene,Sediment - Hydrocarbons,
96557,303_00_00_01_02,Fluorene,Sediment - Hydrocarbons,
96558,299_00_00_01_02,Phenanthrene,Sediment - Hydrocarbons,
96559,1272_00_00_01_02,Pyrene,Sediment - Hydrocarbons,
96560,146_00_00_01_02,Fluoranthene,Sediment - Hydrocarbons,
96561,145_00_00_01_02,Benzo(b)fluoranthene,Sediment - Hydrocarbons,
96562,147_00_00_01_02,Benzo(k)fluoranthene,Sediment - Hydrocarbons,
96563,204_00_00_01_02,Benzo(a)pyrene,Sediment - Hydrocarbons,
96564,140_00_00_01_02,"Indeno(1,2,3-c,d)pyrene",Sediment - Hydrocarbons,
96565,132_00_00_01_02,"Benzo(g,h,i)perylene",Sediment - Hydrocarbons,
96810,91_00_00_01_02,Hexachlorobenzene,Sediment - Hydrocarbons,
96811,181_00_00_01_02,alpha-benzene hexachloride OR alpha-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH),Sediment - Hydrocarbons,
96812,227_00_00_01_02,gamma-benzene hexachloride OR gamma-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH) OR Lindane,Sediment - Pesticides,
96813,281_00_00_01_02,Heptachlor,Sediment - Pesticides,
96814,177_00_00_01_02,Aldrin,Sediment - Pesticides,
96815,60_00_00_01_02,Heptachlor epoxide,Sediment - Pesticides,
96816,207_00_00_01_02,gamma-chlordane,Sediment - Pesticides,
96817,206_00_00_01_02,alpha-chlordane,Sediment - Pesticides,
96818,335_00_00_01_02,alpha-endosulfan,Sediment - Pesticides,
96819,261_00_00_01_02,"p,p'-DDE (4,4'-DDE)",Sediment - Pesticides,
96820,235_00_00_01_02,Dieldrin,Sediment - Pesticides,
96821,258_00_00_01_02,Endrin,Sediment - Pesticides,
96822,287_00_00_01_02,"o,p'-DDT (2,4'-DDT)",Sediment - Pesticides,
96823,260_00_00_01_02,"p,p'-dichlorodiphenyl dichloroethane (p,p'-DDD) OR 1,2-diphenyl tetrachloroethane (4,4'-DDD)",Sediment - Pesticides,
96824,200_00_00_01_02,"p,p'-DDT (4,4'-DDT)",Sediment - Pesticides,
96825,187_00_00_01_02,Beta-endosulfan,Sediment - Pesticides,
96826,165_00_00_01_02,Mirex,Sediment - Pesticides,
96827,259_00_00_01_02,"p,p'-methoxychlor (methoxychlor)",Sediment - Pesticides,
96828,1041_00_00_01_02,Total PCBs,Sediment - Hydrocarbons,
96829,215_00_00_01_02,"Metadichlorobenzene (1,3-dichlorobenzene)",Sediment - Hydrocarbons,
96830,64_00_00_01_02,para-dichlorobenzene,Sediment - Hydrocarbons,
96831,329_00_00_01_02,"Dichlorobenzene (1,2-dichlorobenzene)",Sediment - Hydrocarbons,
96832,72_00_00_01_02,sym-trichlorobenzene,Sediment - Hydrocarbons,
96833,95_00_00_01_02,"Trichlorobenzene A (1,2,4-trichlorobenzene)",Sediment - Hydrocarbons,
96834,304_00_00_01_02,"vic-trichlorobenzene (1,2,3-trichlorobenzene)",Sediment - Hydrocarbons,
96835,245_00_00_01_02,"1,2,3,4-tetrachlorobenzene",Sediment - Hydrocarbons,
96836,237_00_00_01_02,Pentachlorobenzene,Sediment - Hydrocarbons,
97501,401_00_00_00_14,Boron total,Water - Metal,
97502,388_00_00_00_14,Barium total,Water - Metal,
97503,393_00_00_00_14,Beryllium total,Water - Metal,
97504,1049_00_00_00_14,Bismuth total,Water - Metal,
97505,412_00_00_00_14,Cadmium total,Water - Metal,
97506,1002_00_00_00_14,Cerium total,Water - Metal,
